======================================================================
HOPPER-AERO MODEE CONTROLLER (LCM)
- Always sends commands; underlying hopper_driver handles mode switching
- Right stick: desired vx/vy (same mapping as Hopper4.py)
- Press Y: start CSV log (saved under ~/hopper_logs/modee_csv/ by default). Log stops when program exits.
  (Override directory: export MODEE_LOG_DIR=/your/path)
======================================================================
[run_modee] LCM URL: udpm://239.255.76.67:7667?ttl=255
[run_modee] Safety limits:
  - tau_max: (20.0, 20.0, 20.0) Nm
  - tau_sign: (1.0, 1.0, 1.0)
  - tau_out_scale: 1.0
  - tau_out_max: 8.0
  - pwm_range: [1000.0, 1300.0] us
  - thrust_ratio: 0.22
  - thrust_max_each: 10.0 N/arm
  - thrust_min_each: 0.0 N/arm
  - wbc_w_t_ref: 0.01
  - wbc_w_tsum_ref: 0.0
  - swing_kp_xy: 20.0, swing_kd_xy: 0.8 (XY)
  - swing_kp_z: 220.0, swing_kd_z: 10 (Z)
  - use_foot_vel_lpf: True
  - foot_vel_lpf_tau: 0.015 s (~10.6 Hz cutoff)
======================================================================
[modee] waiting... have_motor=False have_imu=False have_gamepad=False
[modee] FLIGHT | pos=[-0.000,+0.000,-0.480]m | f_tot=[+2.83,+0.02,+7.77]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+2.83,+0.02,+7.77]N(w) | tau=[+1.50,+2.31,+3.35]Nm | pwm=[1000,1300,1217,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.188,-0.069,-0.413]m | f_tot=[+2.50,-1.02,+7.82]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+2.50,-1.02,+7.82]N(w) | tau=[+0.06,+0.18,-0.26]Nm | pwm=[1000,1224,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.205,-0.085,-0.395]m | f_tot=[+2.85,-1.03,+7.70]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+2.85,-1.03,+7.70]N(w) | tau=[+0.13,+0.23,-0.33]Nm | pwm=[1000,1219,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.221,-0.101,-0.376]m | f_tot=[+3.28,-0.92,+7.54]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+3.28,-0.92,+7.54]N(w) | tau=[+0.20,+0.27,-0.39]Nm | pwm=[1000,1215,1000,1300,1000,1000]us
[modee] STANCE:COMP | pos=[+0.231,-0.112,-0.361]m | f_tot=[+3.74,-33.41,+77.71]N(w) | f_grf=[+3.74,-33.41,+77.71]N(w) | f_leg=[-3.74,+33.41,-77.71]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[+8.00,-0.79,+2.95]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[+0.236,-0.123,-0.352]m | f_tot=[+4.39,+1.38,+77.82]N(w) | f_grf=[+4.39,+1.38,+77.82]N(w) | f_leg=[-4.39,-1.38,-77.82]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[+6.92,+6.28,-3.12]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[+0.223,-0.126,-0.370]m | f_tot=[+9.87,-27.85,+77.82]N(w) | f_grf=[+9.87,-27.85,+77.82]N(w) | f_leg=[-9.87,+27.85,-77.82]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[+8.00,-1.07,+3.36]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.170,-0.129,-0.422]m | f_tot=[+5.06,-0.55,+6.55]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+5.06,-0.55,+6.55]N(w) | tau=[-0.26,-0.42,+0.31]Nm | pwm=[1000,1211,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.168,-0.094,-0.450]m | f_tot=[+5.52,-1.10,+6.12]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+5.52,-1.10,+6.12]N(w) | tau=[-0.41,-0.43,+0.33]Nm | pwm=[1000,1218,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.173,-0.064,-0.465]m | f_tot=[+5.86,-1.59,+5.72]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+5.86,-1.59,+5.72]N(w) | tau=[-0.51,-0.41,+0.33]Nm | pwm=[1000,1225,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.178,-0.051,-0.468]m | f_tot=[+5.97,-1.79,+5.55]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+5.97,-1.79,+5.55]N(w) | tau=[-0.62,-0.37,+0.33]Nm | pwm=[1000,1228,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.185,-0.045,-0.467]m | f_tot=[+5.93,-1.84,+5.52]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+5.93,-1.84,+5.52]N(w) | tau=[-0.77,-0.31,+0.33]Nm | pwm=[1000,1240,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.196,-0.042,-0.461]m | f_tot=[+5.68,-1.71,+5.61]N(w) | f_grf=[-0.00,+0.00,-0.00]N(w) | f_leg=[+0.00,-0.00,+0.00]N(w) | f_prop=[+5.68,-1.71,+5.61]N(w) | tau=[-0.88,-0.25,+0.32]Nm | pwm=[1000,1073,1300,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.205,-0.043,-0.455]m | f_tot=[+5.51,-1.56,+5.82]N(w) | f_grf=[+0.00,-0.00,+0.00]N(w) | f_leg=[-0.00,+0.00,-0.00]N(w) | f_prop=[+5.51,-1.56,+5.82]N(w) | tau=[-0.92,-0.22,+0.31]Nm | pwm=[1000,1073,1300,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.226,-0.036,-0.447]m | f_tot=[+5.53,-1.61,+6.02]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+5.53,-1.61,+6.02]N(w) | tau=[-0.95,-0.19,+0.28]Nm | pwm=[1000,1231,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.247,-0.028,-0.439]m | f_tot=[+5.57,-1.74,+5.95]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+5.57,-1.74,+5.95]N(w) | tau=[-0.99,-0.13,+0.22]Nm | pwm=[1000,1233,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.278,-0.021,-0.422]m | f_tot=[+5.60,-1.88,+5.89]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+5.60,-1.88,+5.89]N(w) | tau=[-1.00,-0.10,+0.18]Nm | pwm=[1000,1233,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.317,-0.015,-0.392]m | f_tot=[+5.57,-1.97,+5.83]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+5.57,-1.97,+5.83]N(w) | tau=[-0.98,-0.02,+0.04]Nm | pwm=[1000,1252,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.347,-0.011,-0.362]m | f_tot=[+5.54,-2.00,+5.81]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+5.54,-2.00,+5.81]N(w) | tau=[-0.91,+0.07,-0.18]Nm | pwm=[1000,1271,1000,1283,1000,1000]us
[modee] FLIGHT | pos=[+0.386,-0.006,-0.312]m | f_tot=[+5.59,-2.08,+5.83]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+5.59,-2.08,+5.83]N(w) | tau=[-0.75,+0.18,-0.64]Nm | pwm=[1000,1226,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.393,-0.007,-0.301]m | f_tot=[+5.84,-2.10,+5.58]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+5.84,-2.10,+5.58]N(w) | tau=[-0.65,+0.23,-0.90]Nm | pwm=[1000,1223,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.389,-0.012,-0.307]m | f_tot=[+6.38,-2.08,+4.99]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+6.38,-2.08,+4.99]N(w) | tau=[-0.61,+0.26,-1.01]Nm | pwm=[1000,1218,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.384,-0.017,-0.315]m | f_tot=[+6.89,-1.98,+4.33]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+6.89,-1.98,+4.33]N(w) | tau=[-0.58,+0.27,-1.05]Nm | pwm=[1000,1213,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.380,-0.021,-0.320]m | f_tot=[+7.16,-1.89,+3.93]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+7.16,-1.89,+3.93]N(w) | tau=[-0.58,+0.28,-1.05]Nm | pwm=[1000,1211,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.358,-0.032,-0.348]m | f_tot=[+7.46,-1.55,+3.47]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+7.46,-1.55,+3.47]N(w) | tau=[-0.61,+0.28,-0.98]Nm | pwm=[1000,1208,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.329,-0.048,-0.377]m | f_tot=[+7.67,-1.05,+3.14]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+7.67,-1.05,+3.14]N(w) | tau=[-0.67,+0.27,-0.89]Nm | pwm=[1000,1204,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.302,-0.064,-0.397]m | f_tot=[+7.59,-0.49,+2.87]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+7.59,-0.49,+2.87]N(w) | tau=[-0.77,+0.26,-0.76]Nm | pwm=[1000,1300,1001,1099,1000,1000]us
[modee] FLIGHT | pos=[+0.285,-0.076,-0.406]m | f_tot=[+7.72,+0.01,+2.73]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+7.72,+0.01,+2.73]N(w) | tau=[-0.82,+0.25,-0.70]Nm | pwm=[1000,1300,1000,1115,1000,1000]us
[modee] FLIGHT | pos=[+0.282,-0.083,-0.405]m | f_tot=[+7.76,+0.28,+2.70]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+7.76,+0.28,+2.70]N(w) | tau=[-0.87,+0.25,-0.65]Nm | pwm=[1000,1300,1000,1124,1000,1000]us
[modee] FLIGHT | pos=[+0.284,-0.088,-0.401]m | f_tot=[+7.79,+0.42,+2.69]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+7.79,+0.42,+2.69]N(w) | tau=[-0.91,+0.25,-0.60]Nm | pwm=[1000,1300,1000,1136,1000,1000]us
[modee] FLIGHT | pos=[+0.281,-0.096,-0.398]m | f_tot=[+7.80,+0.49,+2.70]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+7.80,+0.49,+2.70]N(w) | tau=[-0.95,+0.26,-0.57]Nm | pwm=[1000,1300,1000,1146,1000,1000]us
[modee] FLIGHT | pos=[+0.284,-0.102,-0.392]m | f_tot=[+7.80,+0.44,+2.74]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+7.80,+0.44,+2.74]N(w) | tau=[-0.97,+0.27,-0.55]Nm | pwm=[1000,1300,1000,1155,1000,1000]us
[modee] FLIGHT | pos=[+0.288,-0.110,-0.382]m | f_tot=[+7.74,+0.29,+2.80]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+7.74,+0.29,+2.80]N(w) | tau=[-1.00,+0.29,-0.54]Nm | pwm=[1000,1191,1300,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.290,-0.115,-0.377]m | f_tot=[+7.74,+0.13,+2.86]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+7.74,+0.13,+2.86]N(w) | tau=[-1.01,+0.31,-0.55]Nm | pwm=[1000,1193,1300,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.285,-0.127,-0.373]m | f_tot=[+7.75,-0.18,+2.86]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+7.75,-0.18,+2.86]N(w) | tau=[-1.03,+0.33,-0.55]Nm | pwm=[1000,1194,1300,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.277,-0.138,-0.373]m | f_tot=[+7.76,-0.47,+2.81]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+7.76,-0.47,+2.81]N(w) | tau=[-1.03,+0.35,-0.56]Nm | pwm=[1000,1192,1300,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.276,-0.148,-0.365]m | f_tot=[+7.79,-0.82,+2.64]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+7.79,-0.82,+2.64]N(w) | tau=[-1.04,+0.41,-0.60]Nm | pwm=[1000,1300,1000,1199,1000,1000]us
[modee] FLIGHT | pos=[+0.285,-0.157,-0.350]m | f_tot=[+7.83,-0.99,+2.38]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.83,-0.99,+2.38]N(w) | tau=[-1.04,+0.45,-0.64]Nm | pwm=[1000,1300,1001,1246,1000,1000]us
[modee] FLIGHT | pos=[+0.288,-0.167,-0.338]m | f_tot=[+7.87,-1.14,+2.20]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+7.87,-1.14,+2.20]N(w) | tau=[-1.02,+0.50,-0.71]Nm | pwm=[1000,1300,1000,1222,1000,1000]us
[modee] FLIGHT | pos=[+0.283,-0.182,-0.326]m | f_tot=[+7.85,-1.38,+2.03]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.85,-1.38,+2.03]N(w) | tau=[-1.00,+0.57,-0.79]Nm | pwm=[1000,1270,1000,1282,1000,1000]us
[modee] FLIGHT | pos=[+0.280,-0.188,-0.324]m | f_tot=[+7.85,-1.46,+1.95]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+7.85,-1.46,+1.95]N(w) | tau=[-0.98,+0.65,-0.89]Nm | pwm=[1000,1158,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.269,-0.197,-0.329]m | f_tot=[+7.86,-1.49,+1.88]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.86,-1.49,+1.88]N(w) | tau=[-0.98,+0.69,-0.93]Nm | pwm=[1000,1113,1001,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.252,-0.210,-0.334]m | f_tot=[+7.87,-1.42,+1.85]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.87,-1.42,+1.85]N(w) | tau=[-0.98,+0.72,-0.94]Nm | pwm=[1000,1114,1001,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.235,-0.221,-0.339]m | f_tot=[+7.89,-1.31,+1.84]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.89,-1.31,+1.84]N(w) | tau=[-0.98,+0.73,-0.95]Nm | pwm=[1000,1114,1001,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.203,-0.244,-0.344]m | f_tot=[+7.90,-1.06,+1.85]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.90,-1.06,+1.85]N(w) | tau=[-0.98,+0.75,-0.95]Nm | pwm=[1000,1114,1001,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.169,-0.267,-0.341]m | f_tot=[+7.90,-0.75,+1.89]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.90,-0.75,+1.89]N(w) | tau=[-0.98,+0.76,-0.93]Nm | pwm=[1000,1112,1001,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.129,-0.292,-0.334]m | f_tot=[+7.95,-0.34,+1.97]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+7.95,-0.34,+1.97]N(w) | tau=[-0.97,+0.76,-0.88]Nm | pwm=[1000,1209,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.085,-0.318,-0.318]m | f_tot=[+8.06,+0.15,+2.14]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+8.06,+0.15,+2.14]N(w) | tau=[-0.94,+0.73,-0.78]Nm | pwm=[1000,1294,1000,1264,1000,1000]us
[modee] FLIGHT | pos=[+0.063,-0.331,-0.308]m | f_tot=[+8.04,+0.44,+2.22]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+8.04,+0.44,+2.22]N(w) | tau=[-0.92,+0.67,-0.67]Nm | pwm=[1000,1291,1000,1268,1000,1000]us
[modee] FLIGHT | pos=[+0.038,-0.344,-0.295]m | f_tot=[+8.03,+0.68,+2.24]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+8.03,+0.68,+2.24]N(w) | tau=[-0.90,+0.62,-0.59]Nm | pwm=[1000,1285,1000,1275,1000,1000]us
[modee] FLIGHT | pos=[+0.022,-0.352,-0.287]m | f_tot=[+8.04,+0.80,+2.20]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+8.04,+0.80,+2.20]N(w) | tau=[-0.89,+0.57,-0.53]Nm | pwm=[1000,1278,1000,1281,1000,1000]us
