======================================================================
HOPPER-AERO MODEE CONTROLLER (LCM)
- Always sends commands; underlying hopper_driver handles mode switching
- Right stick: desired vx/vy (same mapping as Hopper4.py)
- Press Y: start CSV log (saved under ~/hopper_logs/modee_csv/ by default). Log stops when program exits.
  (Override directory: export MODEE_LOG_DIR=/your/path)
======================================================================
[run_modee] LCM URL: udpm://239.255.76.67:7667?ttl=255
[run_modee] Safety limits:
  - tau_max: (20.0, 20.0, 20.0) Nm
  - tau_sign: (1.0, 1.0, 1.0)
  - tau_out_scale: 1.0
  - tau_out_max: 8.0
  - pwm_range: [1000.0, 1300.0] us
  - thrust_ratio: 0.22
  - thrust_max_each: 10.0 N/arm
  - thrust_min_each: 0.0 N/arm
  - wbc_w_t_ref: 0.01
  - wbc_w_tsum_ref: 0.0
  - swing_kp_xy: 20.0, swing_kd_xy: 0.8 (XY)
  - swing_kp_z: 220.0, swing_kd_z: 10 (Z)
  - use_foot_vel_lpf: True
  - foot_vel_lpf_tau: 0.015 s (~10.6 Hz cutoff)
======================================================================
[modee] waiting... have_motor=False have_imu=False have_gamepad=False
[modee] FLIGHT | pos=[+0.000,-0.000,-0.239]m | f_tot=[-0.00,-0.00,+8.11]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[-0.00,-0.00,+8.11]N(w) | tau=[+0.14,+0.12,+0.12]Nm | pwm=[1000,1169,1000,1300,1000,1000]us
[modee] STANCE:COMP | pos=[+0.024,-0.154,-0.225]m | f_tot=[-8.68,+6.98,+28.83]N(w) | f_grf=[-8.68,+6.98,+28.83]N(w) | f_leg=[+8.68,-6.98,-28.83]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[-0.18,+0.89,+2.30]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[+0.108,-0.204,-0.187]m | f_tot=[-7.36,+7.38,+24.52]N(w) | f_grf=[-7.36,+7.38,+24.52]N(w) | f_leg=[+7.36,-7.38,-24.52]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[+1.71,+0.53,+0.77]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[+0.210,-0.259,-0.084]m | f_tot=[-4.96,+4.95,+16.56]N(w) | f_grf=[-4.96,+4.95,+16.56]N(w) | f_leg=[+4.96,-4.95,-16.56]N(w) | f_prop=[-0.00,-0.00,+0.00]N(w) | tau=[+2.55,+0.52,-0.52]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[+0.268,-0.283,+0.036]m | f_tot=[+3.80,-3.82,+12.74]N(w) | f_grf=[+3.80,-3.82,+12.74]N(w) | f_leg=[-3.80,+3.82,-12.74]N(w) | f_prop=[-0.00,-0.00,+0.00]N(w) | tau=[+2.92,+1.96,-5.46]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[+0.233,-0.296,-0.005]m | f_tot=[-4.84,+8.47,+28.27]N(w) | f_grf=[-4.84,+8.47,+28.27]N(w) | f_leg=[+4.84,-8.47,-28.27]N(w) | f_prop=[-0.00,-0.00,+0.00]N(w) | tau=[+4.76,+1.93,-2.97]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.105,-0.302,-0.107]m | f_tot=[+8.83,+4.44,+29.35]N(w) | f_grf=[+8.83,+4.44,+29.35]N(w) | f_leg=[-8.83,-4.44,-29.35]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[+4.53,+1.40,-1.82]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.028,-0.202,-0.203]m | f_tot=[+8.60,-8.58,+28.59]N(w) | f_grf=[+8.60,-8.58,+28.59]N(w) | f_leg=[-8.60,+8.58,-28.59]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[+2.97,-0.94,+0.31]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.076,-0.157,-0.216]m | f_tot=[+8.07,-8.09,+26.86]N(w) | f_grf=[+8.07,-8.09,+26.86]N(w) | f_leg=[-8.07,+8.09,-26.86]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[+0.89,-0.44,+1.81]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.109,-0.130,-0.216]m | f_tot=[+7.44,-7.48,+24.84]N(w) | f_grf=[+7.44,-7.48,+24.84]N(w) | f_leg=[-7.44,+7.48,-24.84]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[-0.53,-0.26,+2.82]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.121,-0.124,-0.214]m | f_tot=[+7.17,-7.18,+23.98]N(w) | f_grf=[+7.17,-7.18,+23.98]N(w) | f_leg=[-7.17,+7.18,-23.98]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[-0.92,-0.29,+3.09]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.122,-0.127,-0.212]m | f_tot=[+7.48,-7.48,+25.00]N(w) | f_grf=[+7.48,-7.48,+25.00]N(w) | f_leg=[-7.48,+7.48,-25.00]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[-0.94,-0.41,+3.24]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.114,-0.137,-0.211]m | f_tot=[-8.56,+8.60,+28.59]N(w) | f_grf=[-8.56,+8.60,+28.59]N(w) | f_leg=[+8.56,-8.60,-28.59]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[-3.90,+0.60,+4.70]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.087,-0.180,-0.199]m | f_tot=[-8.40,+8.42,+27.98]N(w) | f_grf=[-8.40,+8.42,+27.98]N(w) | f_leg=[+8.40,-8.42,-27.98]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[-3.17,+0.29,+4.33]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.079,-0.204,-0.183]m | f_tot=[-8.05,+8.06,+26.77]N(w) | f_grf=[-8.05,+8.06,+26.77]N(w) | f_leg=[+8.05,-8.06,-26.77]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[-2.25,-0.32,+3.80]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.119,-0.023,-0.220]m | f_tot=[-8.97,+8.94,+29.89]N(w) | f_grf=[-8.97,+8.94,+29.89]N(w) | f_leg=[+8.97,-8.94,-29.89]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[-3.13,-0.22,+4.28]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.047,+0.142,-0.215]m | f_tot=[-9.03,+8.97,+30.01]N(w) | f_grf=[-9.03,+8.97,+30.01]N(w) | f_leg=[+9.03,-8.97,-30.01]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[-3.61,+1.15,+2.45]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.118,-0.077,-0.213]m | f_tot=[-7.76,+7.76,+25.79]N(w) | f_grf=[-7.76,+7.76,+25.79]N(w) | f_leg=[+7.76,-7.76,-25.79]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+0.99,+0.52,+0.86]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.127,-0.223,-0.133]m | f_tot=[-5.76,+5.78,+19.29]N(w) | f_grf=[-5.76,+5.78,+19.29]N(w) | f_leg=[+5.76,-5.78,-19.29]N(w) | f_prop=[-0.00,+0.00,+0.00]N(w) | tau=[+2.84,-0.84,+0.36]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.127,-0.356,+0.165]m | f_tot=[+7.58,-7.56,+25.17]N(w) | f_grf=[+7.58,-7.56,+25.17]N(w) | f_leg=[-7.58,+7.56,-25.17]N(w) | f_prop=[-0.00,+0.00,+0.00]N(w) | tau=[+5.11,-0.83,-2.65]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.039,+0.133,-0.220]m | f_tot=[-7.99,-7.98,+26.55]N(w) | f_grf=[-7.99,-7.98,+26.55]N(w) | f_leg=[+7.99,+7.98,-26.55]N(w) | f_prop=[-0.00,+0.00,+0.00]N(w) | tau=[+0.52,+0.47,+1.43]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.012,-0.026,-0.239]m | f_tot=[-8.91,-8.88,+29.71]N(w) | f_grf=[-8.91,-8.88,+29.71]N(w) | f_leg=[+8.91,+8.88,-29.71]N(w) | f_prop=[-0.00,-0.00,+0.00]N(w) | tau=[+1.93,-0.59,+1.08]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.046,-0.109,-0.227]m | f_tot=[-9.13,-9.13,+30.52]N(w) | f_grf=[-9.13,-9.13,+30.52]N(w) | f_leg=[+9.13,+9.13,-30.52]N(w) | f_prop=[-0.00,-0.00,+0.00]N(w) | tau=[+2.22,-1.40,+1.13]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.102,-0.210,-0.179]m | f_tot=[-9.04,-9.05,+30.20]N(w) | f_grf=[-9.04,-9.05,+30.20]N(w) | f_leg=[+9.04,+9.05,-30.20]N(w) | f_prop=[-0.00,-0.00,+0.00]N(w) | tau=[+2.60,-3.13,+1.28]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.203,-0.370,+0.173]m | f_tot=[-7.96,-5.15,+26.63]N(w) | f_grf=[-7.96,-5.15,+26.63]N(w) | f_leg=[+7.96,+5.15,-26.63]N(w) | f_prop=[-0.00,-0.00,+0.00]N(w) | tau=[+1.90,-4.52,+3.06]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.129,-0.242,-0.157]m | f_tot=[-8.88,-8.92,+29.63]N(w) | f_grf=[-8.88,-8.92,+29.63]N(w) | f_leg=[+8.88,+8.92,-29.63]N(w) | f_prop=[-0.00,-0.00,+0.00]N(w) | tau=[+2.82,-3.21,+1.60]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.002,-0.030,-0.246]m | f_tot=[-8.32,-8.30,+27.64]N(w) | f_grf=[-8.32,-8.30,+27.64]N(w) | f_leg=[+8.32,+8.30,-27.64]N(w) | f_prop=[-0.00,-0.00,+0.00]N(w) | tau=[+1.65,+1.46,-0.48]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.018,-0.006,-0.245]m | f_tot=[-7.93,-7.91,+26.46]N(w) | f_grf=[-7.93,-7.91,+26.46]N(w) | f_leg=[+7.93,+7.91,-26.46]N(w) | f_prop=[-0.00,-0.00,+0.00]N(w) | tau=[+1.34,+1.86,-0.90]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.033,+0.019,-0.242]m | f_tot=[-7.43,-3.72,+24.84]N(w) | f_grf=[-7.43,-3.72,+24.84]N(w) | f_leg=[+7.43,+3.72,-24.84]N(w) | f_prop=[-0.00,-0.00,+0.00]N(w) | tau=[+0.43,+2.35,-0.93]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.045,+0.042,-0.237]m | f_tot=[-7.27,+7.30,+24.25]N(w) | f_grf=[-7.27,+7.30,+24.25]N(w) | f_leg=[+7.27,-7.30,-24.25]N(w) | f_prop=[-0.00,-0.00,+0.00]N(w) | tau=[-1.39,+3.06,-0.25]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.045,+0.044,-0.237]m | f_tot=[-7.09,+7.10,+23.72]N(w) | f_grf=[-7.09,+7.10,+23.72]N(w) | f_leg=[+7.09,-7.10,-23.72]N(w) | f_prop=[-0.00,-0.00,+0.00]N(w) | tau=[-1.50,+3.09,-0.30]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.038,+0.028,-0.241]m | f_tot=[-7.18,+7.18,+23.84]N(w) | f_grf=[-7.18,+7.18,+23.84]N(w) | f_leg=[+7.18,-7.18,-23.84]N(w) | f_prop=[-0.00,-0.00,+0.00]N(w) | tau=[-1.46,+3.05,-0.10]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.028,-0.000,-0.245]m | f_tot=[-7.33,+7.32,+24.33]N(w) | f_grf=[-7.33,+7.32,+24.33]N(w) | f_leg=[+7.33,-7.32,-24.33]N(w) | f_prop=[-0.00,+0.00,+0.00]N(w) | tau=[-1.28,+2.96,+0.14]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.017,-0.044,-0.244]m | f_tot=[-7.57,+7.58,+25.20]N(w) | f_grf=[-7.57,+7.58,+25.20]N(w) | f_leg=[+7.57,-7.58,-25.20]N(w) | f_prop=[-0.00,+0.00,+0.00]N(w) | tau=[-0.96,+2.86,+0.38]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.001,-0.081,-0.243]m | f_tot=[-7.61,+7.61,+25.29]N(w) | f_grf=[-7.61,+7.61,+25.29]N(w) | f_leg=[+7.61,-7.61,-25.29]N(w) | f_prop=[-0.00,+0.00,+0.00]N(w) | tau=[-0.86,+3.03,+0.40]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.006,-0.099,-0.242]m | f_tot=[-7.58,+7.58,+25.19]N(w) | f_grf=[-7.58,+7.58,+25.19]N(w) | f_leg=[+7.58,-7.58,-25.19]N(w) | f_prop=[-0.00,+0.00,+0.00]N(w) | tau=[-0.92,+3.17,+0.43]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.013,-0.125,-0.237]m | f_tot=[-7.57,+7.57,+25.16]N(w) | f_grf=[-7.57,+7.57,+25.16]N(w) | f_leg=[+7.57,-7.57,-25.16]N(w) | f_prop=[-0.00,+0.00,+0.00]N(w) | tau=[-1.09,+3.31,+0.60]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.022,-0.162,-0.228]m | f_tot=[-7.56,+7.55,+25.11]N(w) | f_grf=[-7.56,+7.55,+25.11]N(w) | f_leg=[+7.56,-7.55,-25.11]N(w) | f_prop=[-0.00,+0.00,+0.00]N(w) | tau=[-1.27,+3.47,+0.78]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.031,-0.188,-0.219]m | f_tot=[-7.65,+7.64,+25.40]N(w) | f_grf=[-7.65,+7.64,+25.40]N(w) | f_leg=[+7.65,-7.64,-25.40]N(w) | f_prop=[-0.00,+0.00,-0.00]N(w) | tau=[-1.26,+3.52,+0.91]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.038,-0.218,-0.206]m | f_tot=[-7.91,+7.90,+26.27]N(w) | f_grf=[-7.91,+7.90,+26.27]N(w) | f_leg=[+7.91,-7.90,-26.27]N(w) | f_prop=[-0.00,+0.00,-0.00]N(w) | tau=[-1.09,+3.42,+1.07]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.025,-0.221,-0.205]m | f_tot=[-7.85,+7.88,+26.19]N(w) | f_grf=[-7.85,+7.88,+26.19]N(w) | f_leg=[+7.85,-7.88,-26.19]N(w) | f_prop=[-0.00,+0.00,-0.00]N(w) | tau=[-0.97,+3.36,+0.99]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.009,-0.222,-0.204]m | f_tot=[-21.81,+21.81,+72.69]N(w) | f_grf=[-21.81,+21.81,+72.69]N(w) | f_leg=[+21.81,-21.81,-72.69]N(w) | f_prop=[-0.00,+0.00,-0.00]N(w) | tau=[-1.92,+8.00,+2.16]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.003,-0.224,-0.203]m | f_tot=[-21.89,+21.89,+72.96]N(w) | f_grf=[-21.89,+21.89,+72.96]N(w) | f_leg=[+21.89,-21.89,-72.96]N(w) | f_prop=[-0.00,+0.00,+0.00]N(w) | tau=[-1.57,+8.00,+2.12]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.013,-0.227,-0.201]m | f_tot=[-21.92,+21.92,+73.07]N(w) | f_grf=[-21.92,+21.92,+73.07]N(w) | f_leg=[+21.92,-21.92,-73.07]N(w) | f_prop=[-0.00,+0.00,+0.00]N(w) | tau=[-1.37,+8.00,+2.09]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.026,-0.230,-0.197]m | f_tot=[-21.93,+21.93,+73.10]N(w) | f_grf=[-21.93,+21.93,+73.10]N(w) | f_leg=[+21.93,-21.93,-73.10]N(w) | f_prop=[-0.00,+0.00,-0.00]N(w) | tau=[-1.15,+8.00,+1.98]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.039,-0.233,-0.194]m | f_tot=[-36.21,+36.21,+120.69]N(w) | f_grf=[-36.21,+36.21,+120.69]N(w) | f_leg=[+36.21,-36.21,-120.69]N(w) | f_prop=[-0.00,+0.00,+0.00]N(w) | tau=[-0.75,+8.00,+1.82]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.054,-0.236,-0.190]m | f_tot=[-36.16,+36.16,+120.53]N(w) | f_grf=[-36.16,+36.16,+120.53]N(w) | f_leg=[+36.16,-36.16,-120.53]N(w) | f_prop=[-0.00,+0.00,-0.00]N(w) | tau=[-0.25,+8.00,+1.32]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.065,-0.237,-0.188]m | f_tot=[-36.11,+36.11,+120.38]N(w) | f_grf=[-36.11,+36.11,+120.38]N(w) | f_leg=[+36.11,-36.11,-120.38]N(w) | f_prop=[-0.00,+0.00,-0.00]N(w) | tau=[+0.13,+8.00,+0.91]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.070,-0.237,-0.188]m | f_tot=[-36.03,+36.03,+120.09]N(w) | f_grf=[-36.03,+36.03,+120.09]N(w) | f_leg=[+36.03,-36.03,-120.09]N(w) | f_prop=[-0.00,+0.00,+0.00]N(w) | tau=[+0.34,+8.00,+0.55]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.067,-0.236,-0.192]m | f_tot=[-35.98,+35.98,+119.93]N(w) | f_grf=[-35.98,+35.98,+119.93]N(w) | f_leg=[+35.98,-35.98,-119.93]N(w) | f_prop=[-0.00,+0.00,+0.00]N(w) | tau=[+0.32,+8.00,+0.47]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.064,-0.234,-0.197]m | f_tot=[-35.88,+35.88,+119.60]N(w) | f_grf=[-35.88,+35.88,+119.60]N(w) | f_leg=[+35.88,-35.88,-119.60]N(w) | f_prop=[-0.00,+0.00,-0.00]N(w) | tau=[+0.19,+8.00,+0.36]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.062,-0.233,-0.200]m | f_tot=[-35.83,+35.83,+119.44]N(w) | f_grf=[-35.83,+35.83,+119.44]N(w) | f_leg=[+35.83,-35.83,-119.44]N(w) | f_prop=[-0.00,+0.00,+0.00]N(w) | tau=[+0.14,+8.00,+0.31]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.061,-0.232,-0.203]m | f_tot=[-35.76,+35.76,+119.20]N(w) | f_grf=[-35.76,+35.76,+119.20]N(w) | f_leg=[+35.76,-35.76,-119.20]N(w) | f_prop=[-0.00,+0.00,+0.00]N(w) | tau=[+0.08,+8.00,+0.22]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
