======================================================================
HOPPER-AERO MODEE CONTROLLER (LCM)
- Always sends commands; underlying hopper_driver handles mode switching
- Right stick: desired vx/vy (same mapping as Hopper4.py)
- Press Y: start CSV log (saved under ~/hopper_logs/modee_csv/ by default). Log stops when program exits.
  (Override directory: export MODEE_LOG_DIR=/your/path)
======================================================================
[run_modee] LCM URL: udpm://239.255.76.67:7667?ttl=255
[run_modee] Safety limits:
  - tau_max: (20.0, 20.0, 20.0) Nm
  - tau_sign: (1.0, 1.0, 1.0)
  - tau_out_scale: 1.0
  - tau_out_max: 8.0
  - pwm_range: [1000.0, 1300.0] us
  - thrust_ratio: 0.22
  - thrust_max_each: 10.0 N/arm
  - thrust_min_each: 0.0 N/arm
  - wbc_w_t_ref: 0.01
  - wbc_w_tsum_ref: 0.0
  - swing_kp_xy: 20.0, swing_kd_xy: 0.8 (XY)
  - swing_kp_z: 220.0, swing_kd_z: 10 (Z)
  - use_foot_vel_lpf: True
  - foot_vel_lpf_tau: 0.015 s (~10.6 Hz cutoff)
======================================================================
[modee] waiting... have_motor=False have_imu=False have_gamepad=False
[modee] STANCE:COMP | pos=[-0.000,+0.000,-0.273]m | f_tot=[+95.90,+39.07,+195.04]N(w) | f_grf=[+95.90,+39.07,+195.04]N(w) | f_leg=[-95.90,-39.07,-195.04]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+2.46,+8.00,+2.35]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.111,-0.139,-0.298]m | f_tot=[-7.66,+61.98,+79.86]N(w) | f_grf=[-7.66,+61.98,+79.86]N(w) | f_leg=[+7.66,-61.98,-79.86]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+8.00,+2.56,+1.83]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.079,-0.108,-0.324]m | f_tot=[+16.08,+31.70,+80.69]N(w) | f_grf=[+16.08,+31.70,+80.69]N(w) | f_leg=[-16.08,-31.70,-80.69]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+8.00,-0.66,+2.92]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.054,-0.074,-0.341]m | f_tot=[+33.69,+21.76,+80.61]N(w) | f_grf=[+33.69,+21.76,+80.61]N(w) | f_leg=[-33.69,-21.76,-80.61]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+8.00,-0.55,+2.75]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.027,-0.024,-0.351]m | f_tot=[+54.48,+5.68,+80.14]N(w) | f_grf=[+54.48,+5.68,+80.14]N(w) | f_leg=[-54.48,-5.68,-80.14]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+8.00,-0.31,+2.84]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.019,+0.047,-0.343]m | f_tot=[+64.09,-33.80,+80.11]N(w) | f_grf=[+64.09,-33.80,+80.11]N(w) | f_leg=[-64.09,+33.80,-80.11]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+7.53,-2.74,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.065,+0.095,-0.316]m | f_tot=[+57.81,-57.81,+72.26]N(w) | f_grf=[+57.81,-57.81,+72.26]N(w) | f_leg=[-57.81,+57.81,-72.26]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+2.07,-2.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.076,+0.110,-0.303]m | f_tot=[+54.82,-54.82,+68.53]N(w) | f_grf=[+54.82,-54.82,+68.53]N(w) | f_leg=[-54.82,+54.82,-68.53]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+0.57,-2.33,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.064,+0.117,-0.300]m | f_tot=[+55.02,-15.44,+68.77]N(w) | f_grf=[+55.02,-15.44,+68.77]N(w) | f_leg=[-55.02,+15.44,-68.77]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[-2.92,+1.66,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.016,+0.109,-0.307]m | f_tot=[+31.52,+31.50,+39.34]N(w) | f_grf=[+31.52,+31.50,+39.34]N(w) | f_leg=[-31.52,-31.50,-39.34]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[-5.77,+8.00,+3.18]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.023,+0.093,-0.315]m | f_tot=[+33.05,+33.01,+41.24]N(w) | f_grf=[+33.05,+33.01,+41.24]N(w) | f_leg=[-33.05,-33.01,-41.24]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[-4.45,+8.00,+3.08]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.072,+0.058,-0.327]m | f_tot=[+35.23,+35.18,+43.95]N(w) | f_grf=[+35.23,+35.18,+43.95]N(w) | f_leg=[-35.23,-35.18,-43.95]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[-2.24,+8.00,+2.86]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.112,+0.006,-0.338]m | f_tot=[+36.96,+37.05,+46.23]N(w) | f_grf=[+36.96,+37.05,+46.23]N(w) | f_leg=[-36.96,-37.05,-46.23]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+0.79,+7.64,+2.67]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.143,-0.007,-0.332]m | f_tot=[+70.34,+62.28,+87.92]N(w) | f_grf=[+70.34,+62.28,+87.92]N(w) | f_leg=[-70.34,-62.28,-87.92]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+3.04,+8.00,+3.88]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.140,-0.001,-0.331]m | f_tot=[+69.17,+69.17,+86.47]N(w) | f_grf=[+69.17,+69.17,+86.47]N(w) | f_leg=[-69.17,-69.17,-86.47]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+1.10,+8.00,+7.60]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.133,-0.001,-0.333]m | f_tot=[+68.37,+68.37,+85.46]N(w) | f_grf=[+68.37,+68.37,+85.46]N(w) | f_leg=[-68.37,-68.37,-85.46]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+0.37,+6.43,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.107,+0.002,-0.340]m | f_tot=[+65.13,+65.13,+81.41]N(w) | f_grf=[+65.13,+65.13,+81.41]N(w) | f_leg=[-65.13,-65.13,-81.41]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[-0.75,+3.26,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.108,+0.001,-0.339]m | f_tot=[+18.77,+18.78,+23.43]N(w) | f_grf=[+18.77,+18.78,+23.43]N(w) | f_leg=[-18.77,-18.78,-23.43]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[-0.38,+1.37,+4.63]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.147,-0.003,-0.323]m | f_tot=[+20.37,+20.39,+25.44]N(w) | f_grf=[+20.37,+20.39,+25.44]N(w) | f_leg=[-20.37,-20.39,-25.44]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+0.48,+1.17,+4.54]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.150,-0.006,-0.320]m | f_tot=[+20.27,+20.32,+25.38]N(w) | f_grf=[+20.27,+20.32,+25.38]N(w) | f_leg=[-20.27,-20.32,-25.38]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+0.59,+0.88,+4.66]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.150,-0.013,-0.317]m | f_tot=[+19.82,+19.85,+24.82]N(w) | f_grf=[+19.82,+19.85,+24.82]N(w) | f_leg=[-19.82,-19.85,-24.82]N(w) | f_prop=[+0.00,+0.00,-0.00]N(w) | tau=[+0.68,+0.22,+4.99]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.149,-0.018,-0.316]m | f_tot=[+19.60,+19.64,+24.55]N(w) | f_grf=[+19.60,+19.64,+24.55]N(w) | f_leg=[-19.60,-19.64,-24.55]N(w) | f_prop=[+0.00,+0.00,-0.00]N(w) | tau=[+0.77,-0.18,+5.16]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.148,-0.021,-0.316]m | f_tot=[+19.46,+19.50,+24.37]N(w) | f_grf=[+19.46,+19.50,+24.37]N(w) | f_leg=[-19.46,-19.50,-24.37]N(w) | f_prop=[+0.00,+0.00,-0.00]N(w) | tau=[+0.97,-0.70,+5.35]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.147,-0.021,-0.316]m | f_tot=[+19.46,+19.52,+24.37]N(w) | f_grf=[+19.46,+19.52,+24.37]N(w) | f_leg=[-19.46,-19.52,-24.37]N(w) | f_prop=[+0.00,+0.00,-0.00]N(w) | tau=[+1.02,-0.78,+5.37]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.148,-0.016,-0.316]m | f_tot=[+19.61,+19.66,+24.53]N(w) | f_grf=[+19.61,+19.66,+24.53]N(w) | f_leg=[-19.61,-19.66,-24.53]N(w) | f_prop=[+0.00,+0.00,-0.00]N(w) | tau=[+1.12,-0.86,+5.38]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.149,-0.008,-0.315]m | f_tot=[+19.11,+19.15,+23.94]N(w) | f_grf=[+19.11,+19.15,+23.94]N(w) | f_leg=[-19.11,-19.15,-23.94]N(w) | f_prop=[+0.00,+0.00,-0.00]N(w) | tau=[+1.14,-0.76,+5.13]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.150,+0.011,-0.313]m | f_tot=[+19.65,+19.63,+24.51]N(w) | f_grf=[+19.65,+19.63,+24.51]N(w) | f_leg=[-19.65,-19.63,-24.51]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+1.23,-0.44,+4.93]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.150,+0.017,-0.313]m | f_tot=[+19.74,+19.71,+24.63]N(w) | f_grf=[+19.74,+19.71,+24.63]N(w) | f_leg=[-19.74,-19.71,-24.63]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+1.22,-0.34,+4.87]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.150,+0.031,-0.311]m | f_tot=[+20.12,+20.09,+25.10]N(w) | f_grf=[+20.12,+20.09,+25.10]N(w) | f_leg=[-20.12,-20.09,-25.10]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+1.29,-0.03,+4.65]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.150,+0.037,-0.309]m | f_tot=[+35.40,+35.33,+44.26]N(w) | f_grf=[+35.40,+35.33,+44.26]N(w) | f_leg=[-35.40,-35.33,-44.26]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+2.47,+0.20,+7.75]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.150,+0.041,-0.308]m | f_tot=[+36.00,+35.96,+45.03]N(w) | f_grf=[+36.00,+35.96,+45.03]N(w) | f_leg=[-36.00,-35.96,-45.03]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+2.94,+0.46,+7.24]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.150,+0.043,-0.308]m | f_tot=[+36.20,+36.19,+45.29]N(w) | f_grf=[+36.20,+36.19,+45.29]N(w) | f_leg=[-36.20,-36.19,-45.29]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+3.14,+0.53,+7.04]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.150,+0.043,-0.308]m | f_tot=[+36.54,+36.56,+45.74]N(w) | f_grf=[+36.54,+36.56,+45.74]N(w) | f_leg=[-36.54,-36.56,-45.74]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+3.54,+0.59,+6.69]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.148,+0.042,-0.311]m | f_tot=[+37.10,+37.13,+46.44]N(w) | f_grf=[+37.10,+37.13,+46.44]N(w) | f_leg=[-37.10,-37.13,-46.44]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.41,+0.54,+6.05]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.147,+0.039,-0.314]m | f_tot=[+37.34,+37.38,+46.75]N(w) | f_grf=[+37.34,+37.38,+46.75]N(w) | f_leg=[-37.34,-37.38,-46.75]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+5.10,+0.42,+5.52]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.147,+0.034,-0.315]m | f_tot=[+37.67,+37.58,+47.05]N(w) | f_grf=[+37.67,+37.58,+47.05]N(w) | f_leg=[-37.67,-37.58,-47.05]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+5.62,+0.15,+5.30]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.147,+0.032,-0.315]m | f_tot=[+37.57,+37.66,+47.05]N(w) | f_grf=[+37.57,+37.66,+47.05]N(w) | f_leg=[-37.57,-37.66,-47.05]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+5.63,+0.04,+5.38]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.147,+0.032,-0.315]m | f_tot=[+75.27,+81.70,+102.13]N(w) | f_grf=[+75.27,+81.70,+102.13]N(w) | f_leg=[-75.27,-81.70,-102.13]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+7.25,+0.72,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.145,+0.034,-0.316]m | f_tot=[+78.96,+81.48,+101.85]N(w) | f_grf=[+78.96,+81.48,+101.85]N(w) | f_leg=[-78.96,-81.48,-101.85]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+6.51,+0.37,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.145,+0.034,-0.317]m | f_tot=[+76.07,+81.40,+101.74]N(w) | f_grf=[+76.07,+81.40,+101.74]N(w) | f_leg=[-76.07,-81.40,-101.74]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+5.77,+0.68,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.144,+0.030,-0.319]m | f_tot=[+75.13,+81.35,+101.69]N(w) | f_grf=[+75.13,+81.35,+101.69]N(w) | f_leg=[-75.13,-81.35,-101.69]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+5.42,+0.82,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.142,+0.026,-0.321]m | f_tot=[+81.38,+91.82,+114.78]N(w) | f_grf=[+81.38,+91.82,+114.78]N(w) | f_leg=[-81.38,-91.82,-114.78]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+5.03,+1.04,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.140,+0.017,-0.326]m | f_tot=[+79.78,+91.73,+114.66]N(w) | f_grf=[+79.78,+91.73,+114.66]N(w) | f_leg=[-79.78,-91.73,-114.66]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.73,+0.91,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+82.59,+91.59,+114.49]N(w) | f_grf=[+82.59,+91.59,+114.49]N(w) | f_leg=[-82.59,-91.59,-114.49]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.75,+0.42,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.136,+0.008,-0.331]m | f_tot=[+86.12,+91.48,+114.34]N(w) | f_grf=[+86.12,+91.48,+114.34]N(w) | f_leg=[-86.12,-91.48,-114.34]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.71,+0.27,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.136,+0.009,-0.330]m | f_tot=[+87.63,+88.69,+110.86]N(w) | f_grf=[+87.63,+88.69,+110.86]N(w) | f_leg=[-87.63,-88.69,-110.86]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.65,+0.18,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.136,+0.010,-0.330]m | f_tot=[+88.65,+88.65,+110.81]N(w) | f_grf=[+88.65,+88.65,+110.81]N(w) | f_leg=[-88.65,-88.65,-110.81]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.58,+0.21,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+88.65,+88.65,+110.81]N(w) | f_grf=[+88.65,+88.65,+110.81]N(w) | f_leg=[-88.65,-88.65,-110.81]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.49,+0.30,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+88.65,+88.65,+110.81]N(w) | f_grf=[+88.65,+88.65,+110.81]N(w) | f_leg=[-88.65,-88.65,-110.81]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.43,+0.36,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+88.78,+88.78,+110.97]N(w) | f_grf=[+88.78,+88.78,+110.97]N(w) | f_leg=[-88.78,-88.78,-110.97]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.40,+0.40,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+88.77,+88.77,+110.97]N(w) | f_grf=[+88.77,+88.77,+110.97]N(w) | f_leg=[-88.77,-88.77,-110.97]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.39,+0.41,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+88.77,+88.77,+110.97]N(w) | f_grf=[+88.77,+88.77,+110.97]N(w) | f_leg=[-88.77,-88.77,-110.97]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.39,+0.41,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.136,+0.010,-0.330]m | f_tot=[+88.77,+88.77,+110.97]N(w) | f_grf=[+88.77,+88.77,+110.97]N(w) | f_leg=[-88.77,-88.77,-110.97]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.40,+0.39,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
