[run_modee] stance_use_props = True
======================================================================
HOPPER-AERO MODEE CONTROLLER (LCM)
- Always sends commands; underlying hopper_driver handles mode switching
- Right stick: desired vx/vy (same mapping as Hopper4.py)
- Press Y: start CSV log (saved under ~/hopper_logs/modee_csv/ by default). Log stops when program exits.
  (Override directory: export MODEE_LOG_DIR=/your/path)
======================================================================
[run_modee] LCM URL: udpm://239.255.76.67:7667?ttl=255
[run_modee] Safety limits:
  - tau_max: (20.0, 20.0, 20.0) Nm
  - tau_sign: (1.0, 1.0, 1.0)
  - tau_out_scale: 1.0
  - tau_out_max: 8.0
  - pwm_range: [1000.0, 1300.0] us
  - thrust_ratio: 0.22
  - thrust_max_each: 10.0 N/arm
  - thrust_min_each: 0.0 N/arm
  - wbc_w_t_ref: 0.01
  - wbc_w_tsum_ref: 0.0
  - swing_kp_xy: 20.0, swing_kd_xy: 0.8 (XY)
  - swing_kp_z: 220.0, swing_kd_z: 10 (Z)
  - use_foot_vel_lpf: True
  - foot_vel_lpf_tau: 0.015 s (~10.6 Hz cutoff)
======================================================================
[modee] waiting... have_motor=False have_imu=False have_gamepad=False
[modee] FLIGHT | pos=[-0.000,+0.000,-0.480]m | f_tot=[+0.00,+0.02,+8.13]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+0.00,+0.02,+8.13]N(w) | tau=[+1.92,+2.76,+2.47]Nm | pwm=[1000,1201,1300,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.026,-0.029,-0.488]m | f_tot=[-0.05,+0.20,+8.11]N(w) | f_grf=[+0.00,-0.00,+0.00]N(w) | f_leg=[-0.00,+0.00,-0.00]N(w) | f_prop=[-0.05,+0.20,+8.11]N(w) | tau=[+0.08,-0.24,-0.13]Nm | pwm=[1000,1000,1074,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.022,-0.033,-0.482]m | f_tot=[-0.01,+0.09,+8.24]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[-0.01,+0.09,+8.24]N(w) | tau=[+0.09,-0.24,-0.14]Nm | pwm=[1000,1300,1000,1209,1000,1000]us
[modee] FLIGHT | pos=[+0.019,-0.039,-0.475]m | f_tot=[+0.04,+0.10,+8.10]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+0.04,+0.10,+8.10]N(w) | tau=[+0.27,-0.18,-0.10]Nm | pwm=[1000,1166,1300,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.023,-0.041,-0.464]m | f_tot=[-0.01,+0.09,+8.16]N(w) | f_grf=[-0.00,+0.00,-0.00]N(w) | f_leg=[+0.00,-0.00,+0.00]N(w) | f_prop=[-0.01,+0.09,+8.16]N(w) | tau=[+0.45,-0.12,+0.00]Nm | pwm=[1000,1000,1077,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.020,-0.035,-0.454]m | f_tot=[-0.02,-0.10,+8.26]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[-0.02,-0.10,+8.26]N(w) | tau=[+0.50,-0.01,+0.06]Nm | pwm=[1000,1300,1000,1218,1000,1000]us
[modee] FLIGHT | pos=[+0.020,-0.035,-0.445]m | f_tot=[-0.02,-0.17,+8.16]N(w) | f_grf=[-0.00,+0.00,-0.00]N(w) | f_leg=[+0.00,-0.00,+0.00]N(w) | f_prop=[-0.02,-0.17,+8.16]N(w) | tau=[+0.58,+0.18,+0.22]Nm | pwm=[1000,1000,1077,1300,1000,1000]us
[modee] STANCE:COMP | pos=[+0.026,-0.037,-0.432]m | f_tot=[-1.75,+6.12,+80.53]N(w) | f_grf=[-1.58,+6.40,+65.61]N(w) | f_leg=[+1.58,-6.40,-65.61]N(w) | f_prop=[-0.17,-0.28,+14.92]N(w) | tau=[+3.65,+4.47,+2.68]Nm | pwm=[1000,1300,1300,1000,1000,1000]us
[modee] STANCE:COMP | pos=[+0.027,-0.044,-0.423]m | f_tot=[+8.57,+13.97,+80.52]N(w) | f_grf=[+8.64,+14.17,+60.53]N(w) | f_leg=[-8.64,-14.17,-60.53]N(w) | f_prop=[-0.07,-0.20,+20.00]N(w) | tau=[+3.23,+7.08,-0.12]Nm | pwm=[1000,1300,1300,1000,1000,1000]us
[modee] STANCE:COMP | pos=[+0.013,-0.056,-0.414]m | f_tot=[+9.13,-6.92,+80.57]N(w) | f_grf=[+8.63,-6.76,+66.61]N(w) | f_leg=[-8.63,+6.76,-66.61]N(w) | f_prop=[+0.49,-0.16,+13.95]N(w) | tau=[+8.00,+1.44,+1.59]Nm | pwm=[1000,1300,1000,1268,1000,1000]us
[modee] STANCE:COMP | pos=[-0.010,-0.061,-0.413]m | f_tot=[+15.55,-10.33,+80.50]N(w) | f_grf=[+14.52,-9.94,+68.89]N(w) | f_leg=[-14.52,+9.94,-68.89]N(w) | f_prop=[+1.03,-0.39,+11.61]N(w) | tau=[+8.00,+0.57,+2.15]Nm | pwm=[1000,1300,1000,1126,1000,1000]us
[modee] STANCE:COMP | pos=[-0.040,-0.036,-0.420]m | f_tot=[+37.73,-37.71,+98.02]N(w) | f_grf=[+36.05,-36.05,+84.31]N(w) | f_leg=[-36.05,+36.05,-84.31]N(w) | f_prop=[+1.68,-1.66,+13.71]N(w) | tau=[+8.00,-0.37,+0.62]Nm | pwm=[1000,1300,1300,1000,1000,1000]us
[modee] STANCE:COMP | pos=[-0.058,+0.011,-0.427]m | f_tot=[+18.06,-47.67,+97.96]N(w) | f_grf=[+16.00,-43.17,+78.58]N(w) | f_leg=[-16.00,+43.17,-78.58]N(w) | f_prop=[+2.07,-4.50,+19.38]N(w) | tau=[+8.00,-0.90,+5.18]Nm | pwm=[1000,1000,1300,1300,1000,1000]us
[modee] STANCE:COMP | pos=[-0.083,+0.096,-0.425]m | f_tot=[+15.07,-74.24,+96.96]N(w) | f_grf=[+14.52,-70.25,+87.81]N(w) | f_leg=[-14.52,+70.25,-87.81]N(w) | f_prop=[+0.55,-3.99,+9.15]N(w) | tau=[+4.31,+3.02,+8.00]Nm | pwm=[1000,1000,1000,1300,1000,1000]us
[modee] STANCE:COMP | pos=[-0.100,+0.164,-0.412]m | f_tot=[-3.13,-69.98,+91.33]N(w) | f_grf=[-3.41,-59.46,+74.32]N(w) | f_leg=[+3.41,+59.46,-74.32]N(w) | f_prop=[+0.28,-10.52,+17.01]N(w) | tau=[-4.79,+5.16,+8.00]Nm | pwm=[1000,1300,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.088,+0.207,-0.416]m | f_tot=[-0.30,-4.79,+6.59]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[-0.30,-4.79,+6.59]N(w) | tau=[-4.79,+5.16,+8.00]Nm | pwm=[1000,1000,1300,1069,1000,1000]us
[modee] FLIGHT | pos=[-0.026,+0.180,-0.459]m | f_tot=[-0.75,-4.19,+6.92]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[-0.75,-4.19,+6.92]N(w) | tau=[-3.70,+3.57,+3.22]Nm | pwm=[1000,1183,1300,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.034,+0.137,-0.488]m | f_tot=[-1.12,-3.57,+7.31]N(w) | f_grf=[+0.00,+0.00,+0.00]N(w) | f_leg=[-0.00,-0.00,-0.00]N(w) | f_prop=[-1.12,-3.57,+7.31]N(w) | tau=[-1.41,+1.31,-1.33]Nm | pwm=[1000,1293,1259,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.106,+0.070,-0.505]m | f_tot=[-1.57,-2.66,+7.50]N(w) | f_grf=[+0.00,+0.00,+0.00]N(w) | f_leg=[-0.00,-0.00,-0.00]N(w) | f_prop=[-1.57,-2.66,+7.50]N(w) | tau=[-1.21,+1.18,-1.50]Nm | pwm=[1000,1001,1300,1037,1000,1000]us
[modee] FLIGHT | pos=[+0.123,+0.039,-0.508]m | f_tot=[-1.82,-2.36,+7.64]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[-1.82,-2.36,+7.64]N(w) | tau=[-1.01,+1.05,-1.65]Nm | pwm=[1000,1300,1246,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.118,+0.004,-0.513]m | f_tot=[-1.97,-2.17,+7.75]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[-1.97,-2.17,+7.75]N(w) | tau=[-0.61,+0.76,-1.86]Nm | pwm=[1000,1273,1000,1282,1000,1000]us
[modee] FLIGHT | pos=[+0.107,-0.015,-0.515]m | f_tot=[-2.02,-2.12,+7.74]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[-2.02,-2.12,+7.74]N(w) | tau=[-0.42,+0.61,-1.92]Nm | pwm=[1000,1259,1000,1296,1000,1000]us
[modee] FLIGHT | pos=[+0.089,-0.047,-0.513]m | f_tot=[-2.13,-1.94,+7.60]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[-2.13,-1.94,+7.60]N(w) | tau=[-0.26,+0.47,-1.93]Nm | pwm=[1000,1090,1300,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.076,-0.069,-0.509]m | f_tot=[-2.23,-1.80,+7.57]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[-2.23,-1.80,+7.57]N(w) | tau=[-0.24,+0.45,-1.92]Nm | pwm=[1000,1145,1002,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.055,-0.095,-0.501]m | f_tot=[-2.26,-1.71,+7.58]N(w) | f_grf=[+0.00,+0.00,+0.00]N(w) | f_leg=[-0.00,-0.00,-0.00]N(w) | f_prop=[-2.26,-1.71,+7.58]N(w) | tau=[-0.23,+0.44,-1.91]Nm | pwm=[1000,1300,1032,1097,1000,1000]us
[modee] FLIGHT | pos=[+0.038,-0.122,-0.489]m | f_tot=[-2.35,-1.56,+7.65]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[-2.35,-1.56,+7.65]N(w) | tau=[-0.09,+0.29,-1.80]Nm | pwm=[1000,1073,1300,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.028,-0.138,-0.478]m | f_tot=[-2.44,-1.51,+7.71]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[-2.44,-1.51,+7.71]N(w) | tau=[+0.05,+0.15,-1.68]Nm | pwm=[1000,1204,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.012,-0.154,-0.463]m | f_tot=[-2.40,-1.47,+7.77]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[-2.40,-1.47,+7.77]N(w) | tau=[+0.27,-0.03,-1.48]Nm | pwm=[1000,1210,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.004,-0.167,-0.449]m | f_tot=[-2.38,-1.33,+7.67]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[-2.38,-1.33,+7.67]N(w) | tau=[+1.06,-0.55,-0.74]Nm | pwm=[1000,1300,1061,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.000,-0.179,-0.433]m | f_tot=[-2.50,-1.25,+7.80]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[-2.50,-1.25,+7.80]N(w) | tau=[+1.08,-0.56,-0.72]Nm | pwm=[1000,1000,1240,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.005,-0.175,-0.425]m | f_tot=[-2.58,-1.34,+7.76]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[-2.58,-1.34,+7.76]N(w) | tau=[+1.14,-0.53,-0.67]Nm | pwm=[1000,1000,1244,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.005,-0.172,-0.419]m | f_tot=[-2.52,-1.39,+7.74]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[-2.52,-1.39,+7.74]N(w) | tau=[+1.40,-0.38,-0.52]Nm | pwm=[1000,1194,1000,1300,1000,1000]us
[modee] STANCE:COMP | pos=[+0.001,-0.167,-0.410]m | f_tot=[-38.81,-12.89,+76.28]N(w) | f_grf=[-36.46,-11.49,+68.46]N(w) | f_leg=[+36.46,+11.49,-68.46]N(w) | f_prop=[-2.35,-1.40,+7.82]N(w) | tau=[+7.49,-3.38,+7.40]Nm | pwm=[1000,1010,1300,1087,1000,1000]us
[modee] STANCE:COMP | pos=[-0.000,-0.163,-0.402]m | f_tot=[-38.71,-12.88,+76.32]N(w) | f_grf=[-36.10,-11.28,+67.10]N(w) | f_leg=[+36.10,+11.28,-67.10]N(w) | f_prop=[-2.61,-1.60,+9.22]N(w) | tau=[+6.99,-3.05,+7.63]Nm | pwm=[1000,1122,1300,1037,1000,1000]us
[modee] STANCE:COMP | pos=[+0.018,-0.133,-0.410]m | f_tot=[-46.49,-14.49,+76.16]N(w) | f_grf=[-41.27,-10.21,+57.33]N(w) | f_leg=[+41.27,+10.21,-57.33]N(w) | f_prop=[-5.22,-4.28,+18.83]N(w) | tau=[+3.35,+0.02,+7.73]Nm | pwm=[1000,1000,1300,1300,1000,1000]us
[modee] STANCE:COMP | pos=[+0.061,-0.078,-0.425]m | f_tot=[-49.01,-33.65,+75.75]N(w) | f_grf=[-43.65,-27.44,+57.51]N(w) | f_leg=[+43.65,+27.44,-57.51]N(w) | f_prop=[-5.36,-6.21,+18.24]N(w) | tau=[+3.64,+0.56,+7.98]Nm | pwm=[1000,1000,1300,1300,1000,1000]us
[modee] STANCE:COMP | pos=[+0.151,-0.014,-0.428]m | f_tot=[-42.85,-45.26,+63.75]N(w) | f_grf=[-37.12,-37.12,+46.40]N(w) | f_leg=[+37.12,+37.12,-46.40]N(w) | f_prop=[-5.73,-8.14,+17.35]N(w) | tau=[+4.33,+2.78,+3.20]Nm | pwm=[1000,1000,1300,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.246,+0.025,-0.401]m | f_tot=[-2.43,-3.79,+6.94]N(w) | f_grf=[+0.00,-0.00,+0.00]N(w) | f_leg=[-0.00,+0.00,-0.00]N(w) | f_prop=[-2.43,-3.79,+6.94]N(w) | tau=[+4.19,+2.74,+2.99]Nm | pwm=[1000,1000,1194,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.336,+0.040,-0.346]m | f_tot=[-2.18,-4.11,+6.83]N(w) | f_grf=[-0.00,+0.00,-0.00]N(w) | f_leg=[+0.00,-0.00,+0.00]N(w) | f_prop=[-2.18,-4.11,+6.83]N(w) | tau=[+0.45,+1.67,-3.62]Nm | pwm=[1000,1000,1174,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.352,+0.041,-0.337]m | f_tot=[-1.83,-4.37,+6.80]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[-1.83,-4.37,+6.80]N(w) | tau=[+0.43,+1.66,-3.64]Nm | pwm=[1000,1255,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.312,+0.042,-0.384]m | f_tot=[-1.04,-4.56,+6.85]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[-1.04,-4.56,+6.85]N(w) | tau=[+0.35,+1.63,-3.50]Nm | pwm=[1000,1263,1000,1293,1000,1000]us
[modee] FLIGHT | pos=[+0.256,+0.038,-0.431]m | f_tot=[-0.42,-4.62,+6.88]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[-0.42,-4.62,+6.88]N(w) | tau=[+0.22,+1.58,-3.27]Nm | pwm=[1000,1269,1000,1287,1000,1000]us
[modee] FLIGHT | pos=[+0.169,+0.020,-0.477]m | f_tot=[+0.29,-4.56,+6.93]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+0.29,-4.56,+6.93]N(w) | tau=[-0.02,+1.46,-2.91]Nm | pwm=[1000,1280,1000,1276,1000,1000]us
[modee] FLIGHT | pos=[+0.107,-0.007,-0.494]m | f_tot=[+0.83,-4.50,+6.93]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+0.83,-4.50,+6.93]N(w) | tau=[-1.32,+0.65,-0.95]Nm | pwm=[1000,1288,1000,1268,1000,1000]us
[modee] FLIGHT | pos=[+0.053,-0.048,-0.496]m | f_tot=[+1.33,-4.37,+6.94]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+1.33,-4.37,+6.94]N(w) | tau=[-1.60,+0.26,-0.33]Nm | pwm=[1000,1298,1000,1259,1000,1000]us
[modee] FLIGHT | pos=[+0.037,-0.081,-0.487]m | f_tot=[+1.59,-4.16,+6.97]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+1.59,-4.16,+6.97]N(w) | tau=[-1.55,+0.23,-0.29]Nm | pwm=[1000,1300,1198,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.039,-0.116,-0.471]m | f_tot=[+1.74,-3.91,+6.89]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+1.74,-3.91,+6.89]N(w) | tau=[-1.50,+0.20,-0.25]Nm | pwm=[1000,1167,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.048,-0.146,-0.452]m | f_tot=[+1.85,-3.96,+7.06]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+1.85,-3.96,+7.06]N(w) | tau=[-1.36,+0.15,-0.19]Nm | pwm=[1000,1300,1000,1237,1000,1000]us
[modee] FLIGHT | pos=[+0.061,-0.174,-0.431]m | f_tot=[+1.85,-3.81,+6.99]N(w) | f_grf=[-0.00,+0.00,-0.00]N(w) | f_leg=[+0.00,-0.00,+0.00]N(w) | f_prop=[+1.85,-3.81,+6.99]N(w) | tau=[-1.18,+0.11,-0.13]Nm | pwm=[1000,1000,1275,1274,1000,1000]us
[modee] FLIGHT | pos=[+0.075,-0.205,-0.402]m | f_tot=[+1.90,-3.81,+7.12]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+1.90,-3.81,+7.12]N(w) | tau=[-0.74,+0.03,-0.04]Nm | pwm=[1000,1300,1000,1232,1000,1000]us
[modee] FLIGHT | pos=[+0.080,-0.223,-0.383]m | f_tot=[+1.96,-3.84,+7.09]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+1.96,-3.84,+7.09]N(w) | tau=[-0.53,-0.01,+0.01]Nm | pwm=[1000,1300,1000,1232,1000,1000]us
[modee] STANCE:COMP | pos=[+0.095,-0.242,-0.357]m | f_tot=[+6.75,-20.11,+97.67]N(w) | f_grf=[+2.74,-11.58,+82.31]N(w) | f_leg=[-2.74,+11.58,-82.31]N(w) | f_prop=[+4.01,-8.53,+15.36]N(w) | tau=[+8.00,-0.08,+2.87]Nm | pwm=[1000,1000,1300,1300,1000,1000]us
[modee] STANCE:COMP | pos=[+0.109,-0.251,-0.339]m | f_tot=[-12.86,-17.43,+97.54]N(w) | f_grf=[-16.77,-7.71,+80.51]N(w) | f_leg=[+16.77,+7.71,-80.51]N(w) | f_prop=[+3.91,-9.73,+17.03]N(w) | tau=[+7.22,-2.50,+7.08]Nm | pwm=[1000,1000,1300,1300,1000,1000]us
[modee] STANCE:COMP | pos=[+0.152,-0.237,-0.338]m | f_tot=[-27.32,-26.58,+97.14]N(w) | f_grf=[-29.95,-15.58,+80.65]N(w) | f_leg=[+29.95,+15.58,-80.65]N(w) | f_prop=[+2.64,-10.99,+16.50]N(w) | tau=[+7.57,-2.24,+7.48]Nm | pwm=[1000,1000,1300,1300,1000,1000]us
[modee] STANCE:COMP | pos=[+0.229,-0.187,-0.344]m | f_tot=[-51.05,-47.25,+95.92]N(w) | f_grf=[-52.39,-34.31,+80.73]N(w) | f_leg=[+52.39,+34.31,-80.73]N(w) | f_prop=[+1.34,-12.94,+15.19]N(w) | tau=[+8.00,-1.08,+7.50]Nm | pwm=[1000,1000,1300,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.355,-0.092,-0.300]m | f_tot=[+0.00,-6.53,+4.86]N(w) | f_grf=[-0.00,+0.00,-0.00]N(w) | f_leg=[+0.00,-0.00,+0.00]N(w) | f_prop=[+0.00,-6.53,+4.86]N(w) | tau=[+6.53,-0.65,+5.38]Nm | pwm=[1000,1000,1065,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.424,-0.026,-0.218]m | f_tot=[-0.28,-7.27,+3.54]N(w) | f_grf=[+0.00,-0.00,+0.00]N(w) | f_leg=[-0.00,+0.00,-0.00]N(w) | f_prop=[-0.28,-7.27,+3.54]N(w) | tau=[+5.62,-0.51,+4.01]Nm | pwm=[1000,1012,1045,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.416,-0.006,-0.259]m | f_tot=[-0.17,-7.74,+2.35]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[-0.17,-7.74,+2.35]N(w) | tau=[+5.49,-0.49,+3.90]Nm | pwm=[1000,1073,1017,1300,1000,1000]us
