======================================================================
HOPPER-AERO MODEE CONTROLLER (LCM)
- Always sends commands; underlying hopper_driver handles mode switching
- Right stick: desired vx/vy (same mapping as Hopper4.py)
- Press Y: start CSV log (saved under ~/hopper_logs/modee_csv/ by default). Log stops when program exits.
  (Override directory: export MODEE_LOG_DIR=/your/path)
======================================================================
[run_modee] LCM URL: udpm://239.255.76.67:7667?ttl=255
[run_modee] Safety limits:
  - tau_max: (20.0, 20.0, 20.0) Nm
  - tau_sign: (1.0, 1.0, 1.0)
  - tau_out_scale: 1.0
  - tau_out_max: 8.0
  - pwm_range: [1000.0, 1300.0] us
  - thrust_ratio: 0.22
  - thrust_max_each: 10.0 N/arm
  - thrust_min_each: 0.0 N/arm
  - wbc_w_t_ref: 0.01
  - wbc_w_tsum_ref: 0.0
  - swing_kp_xy: 20.0, swing_kd_xy: 0.8 (XY)
  - swing_kp_z: 220.0, swing_kd_z: 10 (Z)
  - use_foot_vel_lpf: True
  - foot_vel_lpf_tau: 0.015 s (~10.6 Hz cutoff)
======================================================================
[modee] waiting... have_motor=False have_imu=False have_gamepad=False
[modee] FLIGHT | pos=[-0.000,+0.000,-0.480]m | f_tot=[+2.83,+0.02,+7.77]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+2.83,+0.02,+7.77]N(w) | tau=[+1.50,+2.31,+3.35]Nm | pwm=[1000,1300,1217,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.143,-0.015,-0.506]m | f_tot=[+2.30,-0.09,+7.76]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+2.30,-0.09,+7.76]N(w) | tau=[-0.46,-0.54,-0.22]Nm | pwm=[1000,1300,1028,1214,1000,1000]us
[modee] FLIGHT | pos=[+0.162,-0.018,-0.498]m | f_tot=[+2.24,-0.11,+7.79]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[+2.24,-0.11,+7.79]N(w) | tau=[-0.45,-0.43,-0.36]Nm | pwm=[1000,1000,1300,1037,1000,1000]us
[modee] FLIGHT | pos=[+0.186,-0.021,-0.485]m | f_tot=[+2.24,-0.19,+7.97]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+2.24,-0.19,+7.97]N(w) | tau=[-0.35,-0.35,-0.54]Nm | pwm=[1000,1291,1000,1263,1000,1000]us
[modee] FLIGHT | pos=[+0.197,-0.023,-0.477]m | f_tot=[+2.38,-0.39,+7.92]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+2.38,-0.39,+7.92]N(w) | tau=[-0.24,-0.18,-0.77]Nm | pwm=[1000,1288,1000,1267,1000,1000]us
[modee] FLIGHT | pos=[+0.209,-0.027,-0.467]m | f_tot=[+2.46,-0.48,+7.89]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+2.46,-0.48,+7.89]N(w) | tau=[-0.21,-0.10,-0.85]Nm | pwm=[1000,1285,1000,1270,1000,1000]us
[modee] FLIGHT | pos=[+0.227,-0.035,-0.451]m | f_tot=[+2.52,-0.50,+7.82]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+2.52,-0.50,+7.82]N(w) | tau=[-0.20,-0.08,-0.88]Nm | pwm=[1000,1300,1150,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.240,-0.042,-0.438]m | f_tot=[+2.58,-0.49,+7.86]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+2.58,-0.49,+7.86]N(w) | tau=[-0.19,-0.07,-0.88]Nm | pwm=[1000,1278,1000,1277,1000,1000]us
[modee] FLIGHT | pos=[+0.258,-0.051,-0.417]m | f_tot=[+2.69,-0.58,+7.82]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+2.69,-0.58,+7.82]N(w) | tau=[-0.17,-0.05,-0.90]Nm | pwm=[1000,1275,1000,1280,1000,1000]us
[modee] FLIGHT | pos=[+0.271,-0.057,-0.401]m | f_tot=[+2.74,-0.56,+7.62]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+2.74,-0.56,+7.62]N(w) | tau=[+0.40,+0.46,-1.51]Nm | pwm=[1000,1300,1000,1177,1000,1000]us
[modee] FLIGHT | pos=[+0.287,-0.063,-0.378]m | f_tot=[+3.10,-0.49,+7.67]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+3.10,-0.49,+7.67]N(w) | tau=[+0.56,+0.53,-1.61]Nm | pwm=[1000,1273,1000,1282,1000,1000]us
[modee] FLIGHT | pos=[+0.296,-0.061,-0.367]m | f_tot=[+3.30,-0.36,+7.52]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+3.30,-0.36,+7.52]N(w) | tau=[+0.55,+0.53,-1.60]Nm | pwm=[1000,1300,1138,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.298,-0.057,-0.368]m | f_tot=[+3.37,-0.26,+7.49]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+3.37,-0.26,+7.49]N(w) | tau=[+0.55,+0.53,-1.59]Nm | pwm=[1000,1300,1139,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.297,-0.052,-0.374]m | f_tot=[+3.52,-0.18,+7.51]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+3.52,-0.18,+7.51]N(w) | tau=[+0.54,+0.52,-1.58]Nm | pwm=[1000,1276,1000,1279,1000,1000]us
[modee] FLIGHT | pos=[+0.292,-0.052,-0.379]m | f_tot=[+3.52,-0.16,+7.31]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+3.52,-0.16,+7.31]N(w) | tau=[+0.53,+0.52,-1.57]Nm | pwm=[1000,1300,1118,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.283,-0.056,-0.387]m | f_tot=[+3.64,-0.06,+7.28]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+3.64,-0.06,+7.28]N(w) | tau=[+0.52,+0.51,-1.56]Nm | pwm=[1000,1300,1000,1193,1000,1000]us
[modee] FLIGHT | pos=[+0.275,-0.060,-0.393]m | f_tot=[+3.75,-0.05,+7.32]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+3.75,-0.05,+7.32]N(w) | tau=[+0.51,+0.50,-1.54]Nm | pwm=[1000,1300,1142,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.269,-0.063,-0.398]m | f_tot=[+3.86,-0.02,+7.34]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+3.86,-0.02,+7.34]N(w) | tau=[+0.50,+0.49,-1.52]Nm | pwm=[1000,1278,1000,1277,1000,1000]us
[modee] FLIGHT | pos=[+0.262,-0.066,-0.404]m | f_tot=[+3.92,-0.01,+7.23]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+3.92,-0.01,+7.23]N(w) | tau=[+0.47,+0.47,-1.48]Nm | pwm=[1000,1300,1140,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.256,-0.069,-0.408]m | f_tot=[+3.99,+0.08,+7.19]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+3.99,+0.08,+7.19]N(w) | tau=[+0.46,+0.46,-1.46]Nm | pwm=[1000,1300,1138,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.250,-0.070,-0.414]m | f_tot=[+4.12,+0.08,+7.20]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+4.12,+0.08,+7.20]N(w) | tau=[+0.45,+0.44,-1.44]Nm | pwm=[1000,1277,1000,1279,1000,1000]us
[modee] FLIGHT | pos=[+0.245,-0.072,-0.418]m | f_tot=[+4.10,+0.05,+7.02]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+4.10,+0.05,+7.02]N(w) | tau=[+0.44,+0.43,-1.42]Nm | pwm=[1000,1300,1117,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.239,-0.075,-0.423]m | f_tot=[+4.17,+0.11,+6.94]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+4.17,+0.11,+6.94]N(w) | tau=[+0.43,+0.43,-1.41]Nm | pwm=[1000,1300,1046,1092,1000,1000]us
[modee] FLIGHT | pos=[+0.235,-0.075,-0.427]m | f_tot=[+4.22,+0.11,+6.90]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+4.22,+0.11,+6.90]N(w) | tau=[+0.43,+0.42,-1.40]Nm | pwm=[1000,1300,1024,1124,1000,1000]us
[modee] FLIGHT | pos=[+0.233,-0.075,-0.429]m | f_tot=[+4.28,+0.12,+6.90]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+4.28,+0.12,+6.90]N(w) | tau=[-0.47,-0.42,+0.02]Nm | pwm=[1000,1300,1000,1177,1000,1000]us
[modee] FLIGHT | pos=[+0.237,-0.072,-0.428]m | f_tot=[+4.34,+0.18,+6.98]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+4.34,+0.18,+6.98]N(w) | tau=[-0.48,-0.40,+0.01]Nm | pwm=[1000,1300,1134,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.249,-0.067,-0.421]m | f_tot=[+4.16,+0.25,+6.94]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+4.16,+0.25,+6.94]N(w) | tau=[-0.48,-0.37,-0.01]Nm | pwm=[1000,1029,1300,1001,1000,1000]us
[modee] FLIGHT | pos=[+0.268,-0.057,-0.408]m | f_tot=[+3.98,+0.31,+7.07]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[+3.98,+0.31,+7.07]N(w) | tau=[-0.44,-0.33,-0.07]Nm | pwm=[1000,1000,1300,1144,1000,1000]us
[modee] FLIGHT | pos=[+0.277,-0.052,-0.402]m | f_tot=[+4.01,+0.32,+7.25]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+4.01,+0.32,+7.25]N(w) | tau=[-0.36,-0.26,-0.22]Nm | pwm=[1000,1279,1000,1277,1000,1000]us
[modee] FLIGHT | pos=[+0.281,-0.050,-0.400]m | f_tot=[+3.96,+0.31,+7.07]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+3.96,+0.31,+7.07]N(w) | tau=[-0.29,-0.17,-0.36]Nm | pwm=[1000,1300,1117,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.290,-0.047,-0.393]m | f_tot=[+3.85,+0.45,+7.10]N(w) | f_grf=[+0.00,-0.00,+0.00]N(w) | f_leg=[-0.00,+0.00,-0.00]N(w) | f_prop=[+3.85,+0.45,+7.10]N(w) | tau=[-0.28,-0.16,-0.37]Nm | pwm=[1000,1015,1300,1013,1000,1000]us
[modee] FLIGHT | pos=[+0.297,-0.045,-0.387]m | f_tot=[+3.80,+0.52,+7.21]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+3.80,+0.52,+7.21]N(w) | tau=[-0.23,-0.13,-0.45]Nm | pwm=[1000,1300,1135,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.305,-0.042,-0.381]m | f_tot=[+3.80,+0.56,+7.26]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+3.80,+0.56,+7.26]N(w) | tau=[-0.16,-0.08,-0.57]Nm | pwm=[1000,1300,1000,1232,1000,1000]us
[modee] FLIGHT | pos=[+0.313,-0.039,-0.374]m | f_tot=[+3.69,+0.60,+7.22]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+3.69,+0.60,+7.22]N(w) | tau=[-0.09,-0.03,-0.69]Nm | pwm=[1000,1167,1300,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.326,-0.035,-0.361]m | f_tot=[+3.63,+0.74,+7.36]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+3.63,+0.74,+7.36]N(w) | tau=[+0.00,+0.03,-0.86]Nm | pwm=[1000,1300,1161,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.331,-0.032,-0.357]m | f_tot=[+3.68,+0.78,+7.38]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+3.68,+0.78,+7.38]N(w) | tau=[+0.08,+0.07,-0.98]Nm | pwm=[1000,1298,1000,1257,1000,1000]us
[modee] FLIGHT | pos=[+0.336,-0.031,-0.352]m | f_tot=[+3.66,+0.81,+7.35]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+3.66,+0.81,+7.35]N(w) | tau=[+0.16,+0.12,-1.15]Nm | pwm=[1000,1300,1170,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.344,-0.029,-0.343]m | f_tot=[+3.64,+0.97,+7.34]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+3.64,+0.97,+7.34]N(w) | tau=[+0.21,+0.14,-1.23]Nm | pwm=[1000,1300,1173,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.349,-0.028,-0.338]m | f_tot=[+3.64,+1.04,+7.33]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+3.64,+1.04,+7.33]N(w) | tau=[+0.24,+0.14,-1.27]Nm | pwm=[1000,1300,1176,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.353,-0.026,-0.334]m | f_tot=[+3.62,+1.08,+7.16]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+3.62,+1.08,+7.16]N(w) | tau=[+0.25,+0.15,-1.29]Nm | pwm=[1000,1300,1096,1039,1000,1000]us
[modee] FLIGHT | pos=[+0.354,-0.025,-0.332]m | f_tot=[+3.66,+1.10,+7.13]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+3.66,+1.10,+7.13]N(w) | tau=[+0.25,+0.15,-1.29]Nm | pwm=[1000,1300,1067,1073,1000,1000]us
[modee] FLIGHT | pos=[+0.357,-0.024,-0.330]m | f_tot=[+3.80,+1.16,+7.25]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+3.80,+1.16,+7.25]N(w) | tau=[+0.29,+0.15,-1.36]Nm | pwm=[1000,1300,1185,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.360,-0.024,-0.327]m | f_tot=[+3.84,+1.20,+7.22]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+3.84,+1.20,+7.22]N(w) | tau=[+0.32,+0.14,-1.40]Nm | pwm=[1000,1300,1187,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.362,-0.023,-0.326]m | f_tot=[+3.84,+1.21,+7.02]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+3.84,+1.21,+7.02]N(w) | tau=[+0.38,+0.12,-1.47]Nm | pwm=[1000,1300,1113,1023,1000,1000]us
[modee] FLIGHT | pos=[+0.361,-0.023,-0.328]m | f_tot=[+3.95,+1.22,+6.97]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+3.95,+1.22,+6.97]N(w) | tau=[+0.38,+0.08,-1.44]Nm | pwm=[1000,1300,1137,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.362,-0.022,-0.329]m | f_tot=[+4.03,+1.23,+6.91]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+4.03,+1.23,+6.91]N(w) | tau=[+0.38,+0.08,-1.44]Nm | pwm=[1000,1300,1124,1013,1000,1000]us
[modee] FLIGHT | pos=[+0.362,-0.022,-0.330]m | f_tot=[+4.15,+1.24,+6.88]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+4.15,+1.24,+6.88]N(w) | tau=[+0.38,+0.07,-1.42]Nm | pwm=[1000,1300,1149,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.362,-0.021,-0.330]m | f_tot=[+4.23,+1.25,+6.82]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+4.23,+1.25,+6.82]N(w) | tau=[+0.37,+0.06,-1.41]Nm | pwm=[1000,1300,1146,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.363,-0.021,-0.331]m | f_tot=[+4.33,+1.25,+6.73]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+4.33,+1.25,+6.73]N(w) | tau=[+0.36,+0.05,-1.39]Nm | pwm=[1000,1300,1141,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.363,-0.020,-0.332]m | f_tot=[+4.42,+1.25,+6.68]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+4.42,+1.25,+6.68]N(w) | tau=[+0.35,+0.04,-1.37]Nm | pwm=[1000,1300,1146,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.364,-0.019,-0.332]m | f_tot=[+4.56,+1.26,+6.62]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+4.56,+1.26,+6.62]N(w) | tau=[+0.34,+0.03,-1.34]Nm | pwm=[1000,1300,1155,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.366,-0.019,-0.331]m | f_tot=[+4.66,+1.27,+6.56]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+4.66,+1.27,+6.56]N(w) | tau=[+0.34,+0.02,-1.32]Nm | pwm=[1000,1300,1158,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.368,-0.018,-0.330]m | f_tot=[+4.80,+1.27,+6.46]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+4.80,+1.27,+6.46]N(w) | tau=[+0.33,+0.01,-1.29]Nm | pwm=[1000,1300,1164,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.370,-0.017,-0.329]m | f_tot=[+4.92,+1.28,+6.39]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+4.92,+1.28,+6.39]N(w) | tau=[+0.32,+0.00,-1.27]Nm | pwm=[1000,1300,1168,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.374,-0.015,-0.326]m | f_tot=[+5.08,+1.30,+6.28]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+5.08,+1.30,+6.28]N(w) | tau=[+0.31,-0.01,-1.24]Nm | pwm=[1000,1300,1176,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.377,-0.014,-0.323]m | f_tot=[+5.24,+1.31,+6.16]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+5.24,+1.31,+6.16]N(w) | tau=[+0.30,-0.02,-1.22]Nm | pwm=[1000,1300,1182,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.381,-0.013,-0.319]m | f_tot=[+5.36,+1.30,+5.96]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+5.36,+1.30,+5.96]N(w) | tau=[+0.28,-0.04,-1.16]Nm | pwm=[1000,1300,1155,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.378,-0.013,-0.325]m | f_tot=[+5.59,+1.25,+5.72]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+5.59,+1.25,+5.72]N(w) | tau=[+0.26,-0.06,-1.09]Nm | pwm=[1000,1300,1069,1073,1000,1000]us
[modee] FLIGHT | pos=[+0.376,-0.013,-0.329]m | f_tot=[+5.85,+1.23,+5.58]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+5.85,+1.23,+5.58]N(w) | tau=[+0.04,-0.29,-0.34]Nm | pwm=[1000,1300,1180,1000,1000,1000]us
