======================================================================
HOPPER-AERO MODEE CONTROLLER (LCM)
- Always sends commands; underlying hopper_driver handles mode switching
- Right stick: desired vx/vy (same mapping as Hopper4.py)
- Press Y: start CSV log (saved under ~/hopper_logs/modee_csv/ by default). Log stops when program exits.
  (Override directory: export MODEE_LOG_DIR=/your/path)
======================================================================
[run_modee] LCM URL: udpm://239.255.76.67:7667?ttl=255
[run_modee] Safety limits:
  - tau_max: (20.0, 20.0, 20.0) Nm
  - tau_sign: (1.0, 1.0, 1.0)
  - tau_out_scale: 1.0
  - tau_out_max: 8.0
  - pwm_range: [1000.0, 1300.0] us
  - thrust_ratio: 0.22
  - thrust_max_each: 10.0 N/arm
  - thrust_min_each: 0.0 N/arm
  - wbc_w_t_ref: 0.01
  - wbc_w_tsum_ref: 0.0
  - swing_kp_xy: 20.0, swing_kd_xy: 0.8 (XY)
  - swing_kp_z: 220.0, swing_kd_z: 10 (Z)
  - use_foot_vel_lpf: True
  - foot_vel_lpf_tau: 0.015 s (~10.6 Hz cutoff)
======================================================================
[modee] waiting... have_motor=False have_imu=False have_gamepad=False
[modee] FLIGHT | pos=[-0.000,+0.000,-0.480]m | f_tot=[+0.00,+0.02,+8.13]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+0.00,+0.02,+8.13]N(w) | tau=[+1.92,+2.76,+2.47]Nm | pwm=[1000,1201,1300,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.023,-0.039,-0.470]m | f_tot=[+0.01,+0.21,+8.16]N(w) | f_grf=[-0.00,+0.00,-0.00]N(w) | f_leg=[+0.00,-0.00,+0.00]N(w) | f_prop=[+0.01,+0.21,+8.16]N(w) | tau=[+0.19,-0.23,-0.14]Nm | pwm=[1000,1000,1300,1154,1000,1000]us
[modee] FLIGHT | pos=[+0.026,-0.041,-0.464]m | f_tot=[-0.04,+0.22,+8.15]N(w) | f_grf=[+0.00,-0.00,+0.00]N(w) | f_leg=[-0.00,+0.00,-0.00]N(w) | f_prop=[-0.04,+0.22,+8.15]N(w) | tau=[+0.21,-0.22,-0.13]Nm | pwm=[1000,1000,1076,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.026,-0.042,-0.460]m | f_tot=[-0.05,+0.19,+8.23]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[-0.05,+0.19,+8.23]N(w) | tau=[+0.23,-0.21,-0.12]Nm | pwm=[1000,1300,1000,1242,1000,1000]us
[modee] FLIGHT | pos=[+0.026,-0.044,-0.454]m | f_tot=[-0.03,+0.18,+8.09]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[-0.03,+0.18,+8.09]N(w) | tau=[+0.23,-0.21,-0.12]Nm | pwm=[1000,1300,1151,1102,1000,1000]us
[modee] FLIGHT | pos=[+0.028,-0.046,-0.448]m | f_tot=[-0.04,+0.19,+8.16]N(w) | f_grf=[-0.00,+0.00,-0.00]N(w) | f_leg=[+0.00,-0.00,+0.00]N(w) | f_prop=[-0.04,+0.19,+8.16]N(w) | tau=[+0.29,-0.17,-0.09]Nm | pwm=[1000,1000,1300,1206,1000,1000]us
[modee] FLIGHT | pos=[+0.029,-0.046,-0.445]m | f_tot=[-0.06,+0.19,+8.15]N(w) | f_grf=[+0.00,-0.00,+0.00]N(w) | f_leg=[-0.00,+0.00,-0.00]N(w) | f_prop=[-0.06,+0.19,+8.15]N(w) | tau=[+0.32,-0.14,-0.06]Nm | pwm=[1000,1000,1158,1300,1000,1000]us
[modee] STANCE:COMP | pos=[+0.031,-0.046,-0.440]m | f_tot=[-11.70,+3.37,+84.54]N(w) | f_grf=[-11.70,+3.37,+84.54]N(w) | f_leg=[+11.70,-3.37,-84.54]N(w) | f_prop=[-0.00,+0.00,+0.00]N(w) | tau=[+5.71,+1.97,+5.87]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[+0.029,-0.050,-0.430]m | f_tot=[+12.67,+14.91,+84.55]N(w) | f_grf=[+12.67,+14.91,+84.55]N(w) | f_leg=[-12.67,-14.91,-84.55]N(w) | f_prop=[-0.00,+0.00,+0.00]N(w) | tau=[+6.28,+8.00,-0.56]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[+0.028,-0.051,-0.428]m | f_tot=[+13.12,+8.40,+84.57]N(w) | f_grf=[+13.12,+8.40,+84.57]N(w) | f_leg=[-13.12,-8.40,-84.57]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+7.86,+6.56,-0.50]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[+0.023,-0.053,-0.425]m | f_tot=[+15.31,-6.32,+84.61]N(w) | f_grf=[+15.31,-6.32,+84.61]N(w) | f_leg=[-15.31,+6.32,-84.61]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+8.00,+2.32,-0.27]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[-0.002,-0.048,-0.423]m | f_tot=[+30.44,-10.68,+127.96]N(w) | f_grf=[+30.44,-10.68,+127.96]N(w) | f_leg=[-30.44,+10.68,-127.96]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[+8.00,+2.87,+0.77]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[-0.034,-0.031,-0.423]m | f_tot=[+46.58,-25.50,+127.95]N(w) | f_grf=[+46.58,-25.50,+127.95]N(w) | f_leg=[-46.58,+25.50,-127.95]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[+8.00,+2.88,+1.03]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[-0.081,+0.005,-0.421]m | f_tot=[+72.43,-54.93,+127.46]N(w) | f_grf=[+72.43,-54.93,+127.46]N(w) | f_leg=[-72.43,+54.93,-127.46]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[+8.00,+3.01,+1.60]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[-0.105,+0.027,-0.417]m | f_tot=[+88.57,-75.15,+126.80]N(w) | f_grf=[+88.57,-75.15,+126.80]N(w) | f_leg=[-88.57,+75.15,-126.80]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[+8.00,+3.19,+2.02]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[-0.147,+0.069,-0.405]m | f_tot=[+36.48,-36.48,+45.59]N(w) | f_grf=[+36.48,-36.48,+45.59]N(w) | f_leg=[-36.48,+36.48,-45.59]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[+3.85,+3.36,+3.56]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[-0.202,+0.133,-0.374]m | f_tot=[+27.36,-27.36,+34.20]N(w) | f_grf=[+27.36,-27.36,+34.20]N(w) | f_leg=[-27.36,+27.36,-34.20]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[-4.09,+5.58,+4.95]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[-0.222,+0.158,-0.357]m | f_tot=[+23.15,-23.15,+28.94]N(w) | f_grf=[+23.15,-23.15,+28.94]N(w) | f_leg=[-23.15,+23.15,-28.94]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[-6.33,+5.67,+4.79]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[-0.253,+0.156,-0.355]m | f_tot=[+26.02,-26.02,+32.52]N(w) | f_grf=[+26.02,-26.02,+32.52]N(w) | f_leg=[-26.02,+26.02,-32.52]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[-8.00,+5.15,+4.61]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] FLIGHT | pos=[-0.261,+0.083,-0.389]m | f_tot=[+2.10,-5.25,+5.96]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+2.10,-5.25,+5.96]N(w) | tau=[-2.82,+1.05,+1.83]Nm | pwm=[1000,1000,1300,1113,1000,1000]us
[modee] FLIGHT | pos=[-0.259,-0.016,-0.410]m | f_tot=[+2.67,-4.46,+6.38]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+2.67,-4.46,+6.38]N(w) | tau=[-2.65,+0.91,+1.77]Nm | pwm=[1000,1000,1300,1122,1000,1000]us
[modee] FLIGHT | pos=[-0.252,-0.104,-0.406]m | f_tot=[+3.32,-3.75,+6.61]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+3.32,-3.75,+6.61]N(w) | tau=[-2.49,+0.73,+1.71]Nm | pwm=[1000,1281,1275,1000,1000,1000]us
[modee] FLIGHT | pos=[-0.244,-0.169,-0.390]m | f_tot=[+3.87,-3.16,+6.62]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+3.87,-3.16,+6.62]N(w) | tau=[-2.08,+0.23,+1.59]Nm | pwm=[1000,1278,1278,1000,1000,1000]us
[modee] FLIGHT | pos=[-0.244,-0.169,-0.390]m | f_tot=[+3.87,-3.16,+6.62]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+3.87,-3.16,+6.62]N(w) | tau=[-1.93,+0.04,+1.55]Nm | pwm=[1000,1278,1278,1000,1000,1000]us
[modee] FLIGHT | pos=[-0.244,-0.169,-0.390]m | f_tot=[+3.87,-3.16,+6.62]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+3.87,-3.16,+6.62]N(w) | tau=[-1.91,+0.02,+1.55]Nm | pwm=[1000,1278,1278,1000,1000,1000]us
[modee] FLIGHT | pos=[-0.244,-0.169,-0.390]m | f_tot=[+3.87,-3.16,+6.61]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+3.87,-3.16,+6.61]N(w) | tau=[-1.89,-0.00,+1.55]Nm | pwm=[1000,1278,1278,1000,1000,1000]us
[modee] FLIGHT | pos=[-0.244,-0.169,-0.390]m | f_tot=[+3.87,-3.16,+6.61]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+3.87,-3.16,+6.61]N(w) | tau=[-1.87,-0.03,+1.55]Nm | pwm=[1000,1277,1278,1000,1000,1000]us
[modee] FLIGHT | pos=[-0.231,-0.220,-0.371]m | f_tot=[+4.25,-2.60,+6.40]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+4.25,-2.60,+6.40]N(w) | tau=[-1.46,-0.60,+1.49]Nm | pwm=[1000,1300,1170,1000,1000,1000]us
[modee] FLIGHT | pos=[-0.221,-0.241,-0.363]m | f_tot=[+4.51,-2.42,+6.43]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[+4.51,-2.42,+6.43]N(w) | tau=[-1.25,-0.92,+1.48]Nm | pwm=[1000,1300,1000,1115,1000,1000]us
[modee] FLIGHT | pos=[-0.201,-0.257,-0.363]m | f_tot=[+4.57,-2.18,+6.36]N(w) | f_grf=[+0.00,+0.00,+0.00]N(w) | f_leg=[-0.00,-0.00,-0.00]N(w) | f_prop=[+4.57,-2.18,+6.36]N(w) | tau=[-1.13,-1.10,+1.47]Nm | pwm=[1000,1049,1001,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.179,-0.264,-0.367]m | f_tot=[+4.69,-1.98,+6.56]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+4.69,-1.98,+6.56]N(w) | tau=[-0.99,-1.30,+1.46]Nm | pwm=[1000,1000,1300,1197,1000,1000]us
[modee] FLIGHT | pos=[-0.153,-0.274,-0.365]m | f_tot=[+4.72,-1.65,+6.49]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[+4.72,-1.65,+6.49]N(w) | tau=[-0.78,-1.58,+1.45]Nm | pwm=[1000,1300,1000,1092,1000,1000]us
[modee] FLIGHT | pos=[-0.124,-0.278,-0.366]m | f_tot=[+4.70,-1.42,+6.47]N(w) | f_grf=[+0.00,+0.00,+0.00]N(w) | f_leg=[-0.00,-0.00,-0.00]N(w) | f_prop=[+4.70,-1.42,+6.47]N(w) | tau=[+0.36,-2.95,+1.47]Nm | pwm=[1000,1069,1001,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.097,-0.274,-0.371]m | f_tot=[+4.70,-1.23,+6.73]N(w) | f_grf=[-0.00,+0.00,-0.00]N(w) | f_leg=[+0.00,-0.00,+0.00]N(w) | f_prop=[+4.70,-1.23,+6.73]N(w) | tau=[+0.41,-2.96,+1.47]Nm | pwm=[1000,1000,1300,1219,1000,1000]us
[modee] FLIGHT | pos=[-0.064,-0.263,-0.378]m | f_tot=[+4.48,-0.93,+6.77]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[+4.48,-0.93,+6.77]N(w) | tau=[+0.44,-2.95,+1.46]Nm | pwm=[1000,1079,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.041,-0.253,-0.383]m | f_tot=[+4.31,-0.77,+6.80]N(w) | f_grf=[+0.00,+0.00,+0.00]N(w) | f_leg=[-0.00,-0.00,-0.00]N(w) | f_prop=[+4.31,-0.77,+6.80]N(w) | tau=[+0.44,-2.94,+1.46]Nm | pwm=[1000,1024,1104,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.024,-0.245,-0.385]m | f_tot=[+4.30,-0.67,+6.97]N(w) | f_grf=[-0.00,+0.00,-0.00]N(w) | f_leg=[+0.00,-0.00,+0.00]N(w) | f_prop=[+4.30,-0.67,+6.97]N(w) | tau=[+0.50,-2.88,+1.45]Nm | pwm=[1000,1000,1267,1284,1000,1000]us
[modee] FLIGHT | pos=[+0.011,-0.227,-0.388]m | f_tot=[+4.04,-0.38,+7.00]N(w) | f_grf=[+0.00,-0.00,+0.00]N(w) | f_leg=[-0.00,+0.00,-0.00]N(w) | f_prop=[+4.04,-0.38,+7.00]N(w) | tau=[+0.52,-2.83,+1.44]Nm | pwm=[1000,1033,1091,1300,1000,1000]us
[modee] STANCE:COMP | pos=[+0.052,-0.203,-0.386]m | f_tot=[+81.25,+108.98,+143.48]N(w) | f_grf=[+81.25,+108.98,+143.48]N(w) | f_leg=[-81.25,-108.98,-143.48]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[+3.12,+1.68,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[+0.085,-0.185,-0.380]m | f_tot=[+59.80,+115.10,+143.87]N(w) | f_grf=[+59.80,+115.10,+143.87]N(w) | f_leg=[-59.80,-115.10,-143.87]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+2.99,+1.61,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[+0.163,-0.163,-0.363]m | f_tot=[+13.21,+113.10,+141.38]N(w) | f_grf=[+13.21,+113.10,+141.38]N(w) | f_leg=[-13.21,-113.10,-141.38]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+6.48,-0.14,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[+0.235,-0.141,-0.341]m | f_tot=[-36.57,+107.06,+133.82]N(w) | f_grf=[-36.57,+107.06,+133.82]N(w) | f_leg=[+36.57,-107.06,-133.82]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+8.00,-2.06,+6.96]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[+0.342,-0.088,-0.280]m | f_tot=[-25.81,+25.77,+32.21]N(w) | f_grf=[-25.81,+25.77,+32.21]N(w) | f_leg=[+25.81,-25.77,-32.21]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+5.80,-1.54,+3.09]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[+0.427,-0.022,-0.170]m | f_tot=[+26.53,+10.85,+33.08]N(w) | f_grf=[+26.53,+10.85,+33.08]N(w) | f_leg=[-26.53,-10.85,-33.08]N(w) | f_prop=[-0.00,+0.00,+0.00]N(w) | tau=[+1.12,+3.76,-8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.427,-0.005,-0.181]m | f_tot=[-1.84,+4.82,+6.40]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[-1.84,+4.82,+6.40]N(w) | tau=[+0.50,+0.28,-3.81]Nm | pwm=[1000,1114,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.381,+0.011,-0.276]m | f_tot=[-2.80,+4.60,+6.20]N(w) | f_grf=[+0.00,+0.00,+0.00]N(w) | f_leg=[-0.00,-0.00,-0.00]N(w) | f_prop=[-2.80,+4.60,+6.20]N(w) | tau=[+0.51,+0.28,-3.78]Nm | pwm=[1000,1111,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.314,+0.025,-0.355]m | f_tot=[-3.49,+4.61,+6.01]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[-3.49,+4.61,+6.01]N(w) | tau=[+0.53,+0.28,-3.72]Nm | pwm=[1000,1000,1300,1231,1000,1000]us
[modee] FLIGHT | pos=[+0.258,+0.033,-0.398]m | f_tot=[-3.78,+4.63,+5.83]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[-3.78,+4.63,+5.83]N(w) | tau=[+0.54,+0.27,-3.61]Nm | pwm=[1000,1000,1300,1231,1000,1000]us
[modee] FLIGHT | pos=[+0.168,+0.042,-0.442]m | f_tot=[-3.99,+4.42,+5.63]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[-3.99,+4.42,+5.63]N(w) | tau=[+0.56,+0.12,-2.69]Nm | pwm=[1000,1222,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.099,+0.046,-0.459]m | f_tot=[-4.22,+4.36,+5.74]N(w) | f_grf=[-0.00,+0.00,-0.00]N(w) | f_leg=[+0.00,-0.00,+0.00]N(w) | f_prop=[-4.22,+4.36,+5.74]N(w) | tau=[+0.43,+0.07,-2.38]Nm | pwm=[1000,1000,1300,1236,1000,1000]us
[modee] FLIGHT | pos=[+0.016,+0.050,-0.463]m | f_tot=[-4.25,+4.23,+5.58]N(w) | f_grf=[+0.00,-0.00,+0.00]N(w) | f_leg=[-0.00,+0.00,-0.00]N(w) | f_prop=[-4.25,+4.23,+5.58]N(w) | tau=[+0.26,+0.03,-2.07]Nm | pwm=[1000,1000,1300,1190,1000,1000]us
[modee] FLIGHT | pos=[-0.033,+0.052,-0.458]m | f_tot=[-4.33,+4.18,+5.66]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[-4.33,+4.18,+5.66]N(w) | tau=[+0.17,+0.09,-1.78]Nm | pwm=[1000,1207,1300,1000,1000,1000]us
